stableKey,as3Name,sourceKind,sourcePath,sourcePackage,symbolId,scope,usage,status,confidence,nextAction,note
combat-hud.player.panel-frame,RoleInfo.bg,restored-swf,local-resources/regima/source/restored-swfs/assets/OtherMat1.swf;local-resources/regima/legacy-extraction/resources_by_swf/[172845].swf/scripts/export/RoleInfo.as,assets/OtherMat1.swf,496,ui,玩家 HP MP 经验顶栏底图,ready,confirmed,none,226x86 local placement 1 2
combat-hud.player.portrait-frame,RoleInfo.head,restored-swf,local-resources/regima/source/restored-swfs/assets/OtherMat1.swf;public/assets/ui/combat-hud/portraits/role2.png;src/assets/AssetManifest.ts;src/scenes/stage1/Stage1CombatHudBridge.ts;local-resources/regima/legacy-extraction/resources_by_swf/[172845].swf/scripts/export/RoleInfo.as,assets/OtherMat1.swf,505,ui,玩家角色头像时间轴,ready,confirmed,none,gotoAndStop roleName; frame 2 唐僧已接入 P1/P2 镜像 HUD
combat-hud.player.hp-gauge,RoleInfo.hpline,restored-swf,local-resources/regima/source/restored-swfs/assets/OtherMat1.swf;local-resources/regima/legacy-extraction/resources_by_swf/[172845].swf/scripts/export/RoleInfo.as,assets/OtherMat1.swf,531,ui,玩家生命 101 帧进度条,ready,confirmed,none,frame 1 full frame 101 empty
combat-hud.player.mp-gauge,RoleInfo.mpline,restored-swf,local-resources/regima/source/restored-swfs/assets/OtherMat1.swf;local-resources/regima/legacy-extraction/resources_by_swf/[172845].swf/scripts/export/RoleInfo.as,assets/OtherMat1.swf,534,ui,玩家魔法 101 帧进度条,ready,confirmed,none,frame 1 full frame 101 empty
combat-hud.player.exp-gauge,RoleInfo.expline,restored-swf,local-resources/regima/source/restored-swfs/assets/OtherMat1.swf;local-resources/regima/legacy-extraction/resources_by_swf/[172845].swf/scripts/export/RoleInfo.as,assets/OtherMat1.swf,537,ui,玩家经验 101 帧进度条,ready,confirmed,none,max level holds frame 1
combat-hud.player.skill-slot,RoleInfo.Yskill,restored-swf,local-resources/regima/source/restored-swfs/assets/OtherMat1.swf;local-resources/regima/legacy-extraction/resources_by_swf/[172845].swf/scripts/export/RoleInfo.as,assets/OtherMat1.swf,510,ui,五个普通技能空槽框,ready,confirmed,none,45x45 reused for all five positions
combat-hud.player.warrior-gauge,RoleInfo.wsmc,restored-swf,local-resources/regima/source/restored-swfs/assets/OtherMat1.swf;local-resources/regima/legacy-extraction/resources_by_swf/[172845].swf/scripts/export/RoleInfo.as,assets/OtherMat1.swf,519,ui,玩家战意 100 帧提示,ready,confirmed,none,optional when runtime exposes owner
combat-hud.player.special-ready,RoleInfo.shows,restored-swf,local-resources/regima/source/restored-swfs/assets/OtherMat1.swf;local-resources/regima/legacy-extraction/resources_by_swf/[172845].swf/scripts/export/RoleInfo.as,assets/OtherMat1.swf,526,ui,战意满值特殊能力就绪提示,ready,confirmed,none,frame 2 when warrior energy reaches 100
combat-hud.shortcut.magic-weapon,RoleInfo.btn_fb,restored-swf,local-resources/regima/source/restored-swfs/assets/OtherMat1.swf;local-resources/regima/legacy-extraction/resources_by_swf/[172845].swf/scripts/export/RoleInfo.as,assets/OtherMat1.swf,567,ui,法宝强化入口提示按钮,ready,confirmed,none,P1 N shortcut P2 pointer only in original
combat-hud.shortcut.pet,RoleInfo.btn_cw,restored-swf,local-resources/regima/source/restored-swfs/assets/OtherMat1.swf;local-resources/regima/legacy-extraction/resources_by_swf/[172845].swf/scripts/export/RoleInfo.as,assets/OtherMat1.swf,573,ui,宠物入口提示按钮,ready,confirmed,none,P1 B P2 numpad minus
combat-hud.boss.bar,BossBlood,restored-swf,local-resources/regima/source/restored-swfs/assets/bossblood.swf;local-resources/regima/legacy-extraction/resources_by_swf/[172845].swf/scripts/export/GameInfo.as,assets/bossblood.swf,110,ui,重要敌人生命底图即时层和追赶层组合,ready,confirmed,none,parent at x465 y50 plus 50 per bar
combat-hud.boss.name-strip,BossBlood.namemc,restored-swf,local-resources/regima/source/restored-swfs/assets/bossblood.swf;local-resources/regima/legacy-extraction/resources_by_swf/[172845].swf/scripts/export/GameInfo.as,assets/bossblood.swf,109,ui,Boss 名称时间轴装饰,ready,confirmed,none,modern may render displayName text over true strip
combat-hud.pet.shell,ShowPetInfo shell,restored-swf,local-resources/regima/source/restored-swfs/assets/pet1.swf;docs/reverse-engineering/ground-truth/manifests/task-settings-191-pet-combat-hud.json;public/assets/ui/combat-hud/pet/shell.png,assets/pet1.swf,605,ui,宠物战斗 HUD 原生底壳,ready,confirmed,none,character 662 depth 1; TASK-SLICE-192B direct projection
combat-hud.pet.hp,ShowPetInfo.hpmc,restored-swf,local-resources/regima/source/restored-swfs/assets/pet1.swf;public/assets/ui/combat-hud/pet/hp;src/scenes/stage1/Stage1PetCombatHudView.ts,assets/pet1.swf,610,ui,宠物生命 25 帧时间轴,ready,confirmed,none,frame max 1 full and frame 25 empty
combat-hud.pet.mp,ShowPetInfo.mpmc,restored-swf,local-resources/regima/source/restored-swfs/assets/pet1.swf;public/assets/ui/combat-hud/pet/mp;src/scenes/stage1/Stage1PetCombatHudView.ts,assets/pet1.swf,614,ui,宠物魔法 25 帧时间轴,ready,confirmed,none,frame max 1 full and frame 25 empty
combat-hud.pet.head,ShowPetInfo.headmc,restored-swf,local-resources/regima/source/restored-swfs/assets/pet1.swf;public/assets/ui/feature/pets/native/heads;src/assets/AssetManifest.ts,assets/pet1.swf,657,ui,当前出战宠物原生头像,ready,confirmed,none,reuses TASK-SETTINGS-175A native head assets selected by species and form
