stableKey,as3Name,sourceKind,sourcePath,sourcePackage,symbolId,scope,usage,status,confidence,nextAction,note
crafting-item._dzj,_dzj,restored-swf,public/assets/ui/crafting/items/_dzj.png;src/assets/AssetManifest.ts,assets/EIcon1.swf,386,ui,地藏戒合成材料/产物图标,ready,confirmed,none,crafting-icons-b059-078；material:_dzj#386;product-preview:_dzj#386
crafting-item.bxg,bxg,restored-swf,public/assets/ui/crafting/items/bxg.png;src/assets/AssetManifest.ts,assets/EIcon1.swf,345,ui,不屑狗合成材料/产物图标,ready,confirmed,none,crafting-icons-b059-078；material:bxg#345
crafting-item.bxhy,bxhy,restored-swf,public/assets/ui/crafting/items/bxhy.png;src/assets/AssetManifest.ts,assets/EIcon1.swf,355,ui,不朽花翼合成材料/产物图标,ready,confirmed,none,crafting-icons-b059-078；material:bxhy#355
crafting-item.cs_fj_dz,cs_fj_dz,restored-swf,public/assets/ui/crafting/items/cs_fj_dz.png;src/assets/AssetManifest.ts,assets/EIcon1.swf,183,ui,斗战合成材料/产物图标,ready,confirmed,none,crafting-icons-b099-122；material:cs_fj_dz#183
crafting-item.cs_fj_dzzzs,cs_fj_dzzzs,restored-swf,public/assets/ui/crafting/items/cs_fj_dzzzs.png;src/assets/AssetManifest.ts,assets/EIcon1.swf,225,ui,斗战制作书合成材料/产物图标,ready,confirmed,none,crafting-icons-b079-098；product-preview:cs_fj_dzzzs#225
crafting-item.cs_fj_js,cs_fj_js,restored-swf,public/assets/ui/crafting/items/cs_fj_js.png;src/assets/AssetManifest.ts,assets/EIcon1.swf,216,ui,金身合成材料/产物图标,ready,confirmed,none,crafting-icons-b099-122；material:cs_fj_js#216
crafting-item.cs_fj_jszzs,cs_fj_jszzs,restored-swf,public/assets/ui/crafting/items/cs_fj_jszzs.png;src/assets/AssetManifest.ts,assets/EIcon1.swf,212,ui,金身制作书合成材料/产物图标,ready,confirmed,none,crafting-icons-b079-098；product-preview:cs_fj_jszzs#212
crafting-item.cs_fj_jt,cs_fj_jt,restored-swf,public/assets/ui/crafting/items/cs_fj_jt.png;src/assets/AssetManifest.ts,assets/EIcon1.swf,205,ui,净坛合成材料/产物图标,ready,confirmed,none,crafting-icons-b099-122；material:cs_fj_jt#205
crafting-item.cs_fj_jtzzs,cs_fj_jtzzs,restored-swf,public/assets/ui/crafting/items/cs_fj_jtzzs.png;src/assets/AssetManifest.ts,assets/EIcon1.swf,188,ui,净坛制作书合成材料/产物图标,ready,confirmed,none,crafting-icons-b079-098；product-preview:cs_fj_jtzzs#188
crafting-item.cs_fj_tl,cs_fj_tl,restored-swf,public/assets/ui/crafting/items/cs_fj_tl.png;src/assets/AssetManifest.ts,assets/EIcon1.swf,19,ui,天龙合成材料/产物图标,ready,confirmed,none,crafting-icons-b099-122；material:cs_fj_tl#19
