stableKey,as3Name,sourceKind,sourcePath,sourcePackage,symbolId,scope,usage,status,confidence,nextAction,note
equipment-preview._clj,idle_sword,restored-swf,local-resources/regima/source/restored-swfs/assets/bailongSword.swf,assets/bailongSword.swf,297,ui,螭龙剑 白龙 weapon HeadSprite preview,export-ready,confirmed,export-selectively,role5-dynamic-fashion-layers；showId=11
equipment-preview._ssggjtg,role_title__ssggjtg,restored-swf,local-resources/regima/source/restored-swfs/assets/EIcon1.swf,assets/EIcon1.swf,114,ui,光棍节脱光 通用 title HeadSprite preview,export-ready,confirmed,export-selectively,title-overlay；showId=1
equipment-preview.bsp,ROLE2_2,restored-swf,local-resources/regima/source/restored-swfs/assets/TangSeng.swf,assets/TangSeng.swf,10,ui,壁水袍 唐僧 armor HeadSprite preview,export-ready,confirmed,export-selectively,layered-role-resource；showId=2
equipment-preview.bxg,role_title_bxg,restored-swf,local-resources/regima/source/restored-swfs/assets/EIcon1.swf,assets/EIcon1.swf,435,ui,不屑狗 通用 title HeadSprite preview,export-ready,confirmed,export-selectively,title-overlay；showId=1
equipment-preview.chilj,idle_sword,restored-swf,local-resources/regima/source/restored-swfs/assets/bailongSword.swf,assets/bailongSword.swf,297,ui,赤龙剑 白龙 weapon HeadSprite preview,export-ready,confirmed,export-selectively,role5-dynamic-fashion-layers；showId=4
equipment-preview.chilp,idle_sword,restored-swf,local-resources/regima/source/restored-swfs/assets/bailongSword.swf,assets/bailongSword.swf,297,ui,赤龙袍 白龙 armor HeadSprite preview,export-ready,confirmed,export-selectively,role5-dynamic-fashion-layers；showId=4
equipment-preview.clp,idle_sword,restored-swf,local-resources/regima/source/restored-swfs/assets/bailongSword.swf,assets/bailongSword.swf,297,ui,螭龙袍 白龙 armor HeadSprite preview,export-ready,confirmed,export-selectively,role5-dynamic-fashion-layers；showId=11
equipment-preview.cs_fj_dz,ROLE1_521,restored-swf,local-resources/regima/source/restored-swfs/assets/cs_zb/wk_fj.swf,assets/cs_zb/wk_fj.swf,130,ui,斗战 悟空 armor HeadSprite preview,export-ready,confirmed,export-selectively,layered-role-resource；showId=521
equipment-preview.cs_fj_js,ROLE4_SHOVEL_521;ROLE4_ARROW_521,restored-swf,local-resources/regima/source/restored-swfs/assets/cs_zb/ss_fj_c.swf;local-resources/regima/source/restored-swfs/assets/cs_zb/ss_fj_g.swf,assets/cs_zb/ss_fj_c.swf;assets/cs_zb/ss_fj_g.swf,159;218,ui,金身 沙僧 armor HeadSprite preview,export-ready,confirmed,export-selectively,role4-dual-body-branch；showId=521
equipment-preview.cs_fj_jt,ROLE3_521,restored-swf,local-resources/regima/source/restored-swfs/assets/cs_zb/bj_fj.swf,assets/cs_zb/bj_fj.swf,139,ui,净坛 八戒 armor HeadSprite preview,export-ready,confirmed,export-selectively,layered-role-resource；showId=521
equipment-preview.cs_fj_tl,idle_sword,restored-swf,local-resources/regima/source/restored-swfs/assets/bailongSword.swf,assets/bailongSword.swf,297,ui,天龙 白龙 armor HeadSprite preview,export-ready,confirmed,export-selectively,role5-dynamic-fashion-layers；showId=16
equipment-preview.cs_fj_zt,ROLE2_521,restored-swf,local-resources/regima/source/restored-swfs/assets/cs_zb/ts_fj.swf,assets/cs_zb/ts_fj.swf,123,ui,旃檀 唐僧 armor HeadSprite preview,export-ready,confirmed,export-selectively,layered-role-resource；showId=521
