stableKey,as3Name,sourceKind,sourcePath,sourcePackage,symbolId,scope,usage,status,confidence,nextAction,note
hero-animation.hero1.shadow,ROLE1_SHALLDOW,restored-swf,local-resources/regima/source/restored-swfs/assets/WuKong.swf;public/assets/combat/role1/body;src/assets/AssetManifest.ts;docs/reverse-engineering/role1-combat-visuals-index.md,assets/WuKong.swf,1,hero,Role1 three-second shadow body and attack animation,ready,confirmed,none,1000x600 sheet; 5x3 cells of 200x200; mirrored by BaseBitmapDataClip
normal-attack-effect.hero2.hit1,Role2Bullet1,restored-swf,local-resources/regima/source/restored-swfs/assets/TangSeng1.swf;public/assets/combat/role2/skills/DefineSprite_274_Role2Bullet1;src/assets/AssetManifest.ts;src/scenes/test-scene/TestSceneViews.ts;docs/reverse-engineering/role2-combat-visuals-index.md,assets/TangSeng1.swf,274,effect,Role2 normal attack attachment,ready,confirmed,none,24 frames; union bounds -493 -94.95 98.5 84.45; spawns forward 50 and y 10; exempt from early max-hit destroy
normal-attack-effect.hero2.hit2,Role2Bullet2,restored-swf,local-resources/regima/source/restored-swfs/assets/TangSeng1.swf;public/assets/combat/role2/skills/DefineSprite_232_Role2Bullet2;src/assets/AssetManifest.ts;src/scenes/test-scene/TestSceneViews.ts;docs/reverse-engineering/role2-combat-visuals-index.md,assets/TangSeng1.swf,232,effect,Role2 charged normal attack attachment,ready,confirmed,none,24 frames; union bounds -1289 -130 125 128.9; created by blb threshold at forward 50 and y 10
normal-attack-effect.hero3.hit1,Role3Bullet1,restored-swf,local-resources/regima/source/restored-swfs/assets/BaJie.swf;local-resources/regima/task-outputs/task-settings-069c-role3/effect-sprites;public/assets/combat/role3/skills/DefineSprite_45_Role3Bullet1;docs/reverse-engineering/role3-combat-visuals-index.md;src/assets/AssetManifest.ts,assets/BaJie.swf,45,effect,Role3 hit1 normal attack attachment,ready,confirmed,none,11 frames; bounds -24.7 -25.05 207.9 151.05; spawns forward 130 and y -72
normal-attack-effect.hero3.hit2,Role3Bullet2,restored-swf,local-resources/regima/source/restored-swfs/assets/BaJie.swf;local-resources/regima/task-outputs/task-settings-069c-role3/effect-sprites;public/assets/combat/role3/skills/DefineSprite_81_Role3Bullet2;docs/reverse-engineering/role3-combat-visuals-index.md;src/assets/AssetManifest.ts,assets/BaJie.swf,81,effect,Role3 hit2 normal attack attachment,ready,confirmed,none,13 frames; bounds -253 -132 695 221; spawns forward 140 and y -30
normal-attack-effect.hero3.hit3,Role3Bullet3,restored-swf,local-resources/regima/source/restored-swfs/assets/BaJie.swf;local-resources/regima/task-outputs/task-settings-069c-role3/effect-sprites;public/assets/combat/role3/skills/DefineSprite_54_Role3Bullet3;docs/reverse-engineering/role3-combat-visuals-index.md;src/assets/AssetManifest.ts,assets/BaJie.swf,54,effect,Role3 hit3 normal attack attachment,ready,confirmed,none,5 frames; bounds -36 4 259.8 257.7; spawns forward 180 and y -140
normal-attack-effect.hero4.shovel.hit1,Role4Bullet1,restored-swf,local-resources/regima/source/restored-swfs/assets/ShaShen.swf;local-resources/regima/task-outputs/task-settings-069d-role4/effect-sprites-svg/DefineSprite_256_Role4Bullet1;public/assets/combat/role4;docs/reverse-engineering/role4-combat-visuals-index.md;src/assets/AssetManifest.ts,assets/ShaShen.swf,256,effect,Role4 shovel hit1 attachment,ready,confirmed,none,7 frames; bounds -104 -51 108 44.7; Follow at forward20 y+30
normal-attack-effect.hero4.shovel.hit2,Role4Bullet2,restored-swf,local-resources/regima/source/restored-swfs/assets/ShaShen.swf;local-resources/regima/task-outputs/task-settings-069d-role4/effect-sprites-svg/DefineSprite_286_Role4Bullet2;public/assets/combat/role4;docs/reverse-engineering/role4-combat-visuals-index.md;src/assets/AssetManifest.ts,assets/ShaShen.swf,286,effect,Role4 shovel hit2 attachment,ready,confirmed,none,11 frames; bounds -143 -103 71 81; Follow at forward15
normal-attack-effect.hero4.shovel.hit3,Role4Bullet3,restored-swf,local-resources/regima/source/restored-swfs/assets/ShaShen.swf;local-resources/regima/task-outputs/task-settings-069d-role4/effect-sprites-svg/DefineSprite_265_Role4Bullet3;public/assets/combat/role4;docs/reverse-engineering/role4-combat-visuals-index.md;src/assets/AssetManifest.ts,assets/ShaShen.swf,265,effect,Role4 shovel hit3 attachment,ready,confirmed,none,4 frames; bounds -113 -46 114.85 52.8; Follow while role moves speed8
normal-attack-effect.hero4.arrow.hit1,Role4BulletArrow1,restored-swf,local-resources/regima/source/restored-swfs/assets/ShaShen.swf;local-resources/regima/task-outputs/task-settings-069d-role4/effect-sprites-svg/DefineSprite_68_Role4BulletArrow1;public/assets/combat/role4;docs/reverse-engineering/role4-combat-visuals-index.md;src/assets/AssetManifest.ts,assets/ShaShen.swf,68,effect,Role4 arrow hit1 and hit2 attachment,ready,confirmed,none,12 frames; bounds -374.4 -44 159 64; world effect at forward90
