stableKey,as3Name,sourceKind,sourcePath,sourcePackage,symbolId,scope,usage,status,confidence,nextAction,note
skill-projectile.role1.slz.hit6,Role1Bullet6,restored-swf,local-resources/regima/source/restored-swfs/assets/WuKong.swf;public/assets/combat/role1/skills;src/assets/AssetManifest.ts;docs/reverse-engineering/role1-combat-visuals-index.md,assets/WuKong.swf,67,projectile,Hero1 slz hit6 visual,ready,confirmed,none,6 frames; union bounds -83.5 -181.45 166.65 4.05
skill-projectile.role1.hytj.hit7,Role1Bullet7,restored-swf,local-resources/regima/source/restored-swfs/assets/WuKong.swf;public/assets/combat/role1/skills;src/assets/AssetManifest.ts;docs/reverse-engineering/role1-combat-visuals-index.md,assets/WuKong.swf,289,projectile,Hero1 hytj hit7 visual,ready,confirmed,none,15 frames; union bounds -1.35 9.3 288 98.4
skill-projectile.role1.lyfb.hit8,Role1Bullet8_1,restored-swf,local-resources/regima/source/restored-swfs/assets/Role1Effect.swf;public/assets/combat/role1/skills;src/assets/AssetManifest.ts;docs/reverse-engineering/role1-combat-visuals-index.md,assets/Role1Effect.swf,305,projectile,Hero1 lyfb follow visual used by body and shadow,ready,confirmed,none,12 frames; union bounds -127.65 -128.65 131.3 34.35
skill-projectile.role1.lyfb.hit8_2,Role1Bullet8_2,restored-swf,local-resources/regima/source/restored-swfs/assets/Role1Effect.swf;public/assets/combat/role1/skills;src/assets/AssetManifest.ts;docs/reverse-engineering/role1-combat-visuals-index.md,assets/Role1Effect.swf,252,projectile,Hero1 lyfb moving visual used by body and shadow,ready,confirmed,none,13 frames; no last-frame destroy; distance 600
skill-projectile.role1.lys.hit9,Role1Bullet9,restored-swf,local-resources/regima/source/restored-swfs/assets/WuKong.swf;public/assets/combat/role1/skills;src/assets/AssetManifest.ts;docs/reverse-engineering/role1-combat-visuals-index.md,assets/WuKong.swf,99,projectile,Hero1 lys hit9 body replacement visual,ready,confirmed,none,10 frames; restores body and gravity on destroy
skill-projectile.role1.jdy.hit11_1,Role1Bullet11_1,restored-swf,local-resources/regima/source/restored-swfs/assets/WuKong.swf;public/assets/combat/role1/skills;src/assets/AssetManifest.ts;docs/reverse-engineering/role1-combat-visuals-index.md,assets/WuKong.swf,311,projectile,Hero1 jdy first chained visual,ready,confirmed,none,35 frames; replaced by hit11_2
skill-projectile.role1.jdy.hit11_2,Role1Bullet11_2,restored-swf,local-resources/regima/source/restored-swfs/assets/WuKong.swf;public/assets/combat/role1/skills;src/assets/AssetManifest.ts;docs/reverse-engineering/role1-combat-visuals-index.md,assets/WuKong.swf,312,projectile,Hero1 jdy second chained visual,ready,confirmed,none,35 frames; cleaned at body action end
skill-projectile.role1.qsez.hit13,Role1Bullet13,restored-swf,local-resources/regima/source/restored-swfs/assets/WuKong.swf;public/assets/combat/role1/skills;src/assets/AssetManifest.ts;docs/reverse-engineering/role1-combat-visuals-index.md,assets/WuKong.swf,53,projectile,Hero1 qsez collision visual,ready,confirmed,none,16 frames; body hidden and stopped for 1.25 seconds
skill-projectile.role1.zz.hit14_1,Role1Bullet14_1,restored-swf,local-resources/regima/source/restored-swfs/assets/WuKong.swf;public/assets/combat/role1/skills;src/assets/AssetManifest.ts;docs/reverse-engineering/role1-combat-visuals-index.md,assets/WuKong.swf,362,projectile,Hero1 zz first visual used by body and shadow,ready,confirmed,none,15 frames; created at hit14 count2 x0
skill-projectile.role1.zz.hit14_2,Role1Bullet14_2,restored-swf,local-resources/regima/source/restored-swfs/assets/WuKong.swf;public/assets/combat/role1/skills;src/assets/AssetManifest.ts;docs/reverse-engineering/role1-combat-visuals-index.md,assets/WuKong.swf,373,projectile,Hero1 zz second visual used by body and shadow,ready,confirmed,none,7 frames; created at hit14 count16 x2
