stableKey,as3Name,sourceKind,sourcePath,sourcePackage,symbolId,scope,usage,status,confidence,nextAction,note
inventory-ui.operation.simple.default,simplebtn,restored-swf,public/assets/ui/inventory/native/operation-simple-default.png;src/assets/InventoryUiAssets.ts,assets/backpack1.swf,358,ui,道具/技能书操作条默认组合,ready,confirmed,none,TASK-SETTINGS-166A；frame 1
inventory-ui.operation.simple.background,simplebtn.background,restored-swf,public/assets/ui/inventory/native/operation-simple-background.png;src/assets/InventoryUiAssets.ts,assets/backpack1.swf,342,ui,道具/技能书操作条透明底板,ready,confirmed,none,TASK-SETTINGS-166A
inventory-ui.operation.use.enabled,buse,restored-swf,public/assets/ui/inventory/native/action-use-enabled.png;src/assets/InventoryUiAssets.ts,assets/backpack1.swf,347,ui,使用动作可用帧,ready,confirmed,none,TASK-SETTINGS-166A；frame 1
inventory-ui.operation.use.disabled,buse,restored-swf,public/assets/ui/inventory/native/action-use-disabled.png;src/assets/InventoryUiAssets.ts,assets/backpack1.swf,347,ui,使用动作禁用帧,ready,confirmed,none,TASK-SETTINGS-166A；frame 2
inventory-ui.operation.discard.enabled,bthrow,restored-swf,public/assets/ui/inventory/native/action-discard-enabled.png;src/assets/InventoryUiAssets.ts,assets/backpack1.swf,352,ui,丢弃动作可用帧,ready,confirmed,none,TASK-SETTINGS-166A；frame 1
inventory-ui.operation.discard.disabled,bthrow,restored-swf,public/assets/ui/inventory/native/action-discard-disabled.png;src/assets/InventoryUiAssets.ts,assets/backpack1.swf,352,ui,丢弃动作禁用帧,ready,confirmed,none,TASK-SETTINGS-166A；frame 2
inventory-ui.operation.give.enabled,bgy,restored-swf,public/assets/ui/inventory/native/action-give-enabled.png;src/assets/InventoryUiAssets.ts,assets/backpack1.swf,357,ui,给予动作可用帧,ready,confirmed,none,TASK-SETTINGS-166A；frame 1
inventory-ui.operation.give.disabled,bgy,restored-swf,public/assets/ui/inventory/native/action-give-disabled.png;src/assets/InventoryUiAssets.ts,assets/backpack1.swf,357,ui,给予动作禁用帧,ready,confirmed,none,TASK-SETTINGS-166A；frame 2
inventory-ui.operation.three.default,threebtn,restored-swf,public/assets/ui/inventory/native/operation-three-default.png;src/assets/InventoryUiAssets.ts,assets/backpack1.swf,610,ui,装备/时装操作条默认组合,ready,confirmed,none,TASK-SETTINGS-166A；frame 1
inventory-ui.operation.three.background,threebtn.background,restored-swf,public/assets/ui/inventory/native/operation-three-background.png;src/assets/InventoryUiAssets.ts,assets/backpack1.swf,597,ui,装备/时装操作条透明底板,ready,confirmed,none,TASK-SETTINGS-166A
inventory-ui.operation.equip.enabled,bzb,restored-swf,public/assets/ui/inventory/native/action-equip-enabled.png;src/assets/InventoryUiAssets.ts,assets/backpack1.swf,604,ui,穿戴动作可用帧,ready,confirmed,none,TASK-SETTINGS-166A；frame 1
inventory-ui.operation.equip.disabled,bzb,restored-swf,public/assets/ui/inventory/native/action-equip-disabled.png;src/assets/InventoryUiAssets.ts,assets/backpack1.swf,604,ui,穿戴动作角色不匹配禁用帧,ready,confirmed,none,TASK-SETTINGS-166A；frame 2
inventory-ui.operation.equip.renew,bzb,restored-swf,public/assets/ui/inventory/native/action-equip-renew.png;src/assets/InventoryUiAssets.ts,assets/backpack1.swf,604,ui,过期时装续期动作帧,ready,confirmed,none,TASK-SETTINGS-166A；frame 3
inventory-ui.operation.sell.enabled,bmd,restored-swf,public/assets/ui/inventory/native/action-sell-enabled.png;src/assets/InventoryUiAssets.ts,assets/backpack1.swf,609,ui,出售动作可用帧,ready,confirmed,none,TASK-SETTINGS-166A；frame 1
inventory-ui.operation.sell.disabled,bmd,restored-swf,public/assets/ui/inventory/native/action-sell-disabled.png;src/assets/InventoryUiAssets.ts,assets/backpack1.swf,609,ui,出售动作禁用帧,ready,confirmed,none,TASK-SETTINGS-166A；frame 2
inventory-ui.level.plate,levelmc,restored-swf,public/assets/ui/inventory/native/level-plate.png;src/assets/InventoryUiAssets.ts,assets/backpack1.swf,219,ui,等级数字容器底板,ready,confirmed,none,TASK-SETTINGS-166A；数字为运行时 child
inventory-ui.level.digit-0,levelnum0,restored-swf,public/assets/ui/inventory/native/level-digit-0.png;src/assets/InventoryUiAssets.ts,assets/backpack1.swf,11,ui,等级数字 0,ready,confirmed,none,TASK-SETTINGS-166A
inventory-ui.level.digit-1,levelnum1,restored-swf,public/assets/ui/inventory/native/level-digit-1.png;src/assets/InventoryUiAssets.ts,assets/backpack1.swf,10,ui,等级数字 1,ready,confirmed,none,TASK-SETTINGS-166A
inventory-ui.level.digit-2,levelnum2,restored-swf,public/assets/ui/inventory/native/level-digit-2.png;src/assets/InventoryUiAssets.ts,assets/backpack1.swf,12,ui,等级数字 2,ready,confirmed,none,TASK-SETTINGS-166A
inventory-ui.level.digit-3,levelnum3,restored-swf,public/assets/ui/inventory/native/level-digit-3.png;src/assets/InventoryUiAssets.ts,assets/backpack1.swf,8,ui,等级数字 3,ready,confirmed,none,TASK-SETTINGS-166A
inventory-ui.level.digit-4,levelnum4,restored-swf,public/assets/ui/inventory/native/level-digit-4.png;src/assets/InventoryUiAssets.ts,assets/backpack1.swf,7,ui,等级数字 4,ready,confirmed,none,TASK-SETTINGS-166A
inventory-ui.level.digit-5,levelnum5,restored-swf,public/assets/ui/inventory/native/level-digit-5.png;src/assets/InventoryUiAssets.ts,assets/backpack1.swf,6,ui,等级数字 5,ready,confirmed,none,TASK-SETTINGS-166A
inventory-ui.level.digit-6,levelnum6,restored-swf,public/assets/ui/inventory/native/level-digit-6.png;src/assets/InventoryUiAssets.ts,assets/backpack1.swf,5,ui,等级数字 6,ready,confirmed,none,TASK-SETTINGS-166A
inventory-ui.level.digit-7,levelnum7,restored-swf,public/assets/ui/inventory/native/level-digit-7.png;src/assets/InventoryUiAssets.ts,assets/backpack1.swf,4,ui,等级数字 7,ready,confirmed,none,TASK-SETTINGS-166A
inventory-ui.level.digit-8,levelnum8,restored-swf,public/assets/ui/inventory/native/level-digit-8.png;src/assets/InventoryUiAssets.ts,assets/backpack1.swf,3,ui,等级数字 8,ready,confirmed,none,TASK-SETTINGS-166A
inventory-ui.level.digit-9,levelnum9,restored-swf,public/assets/ui/inventory/native/level-digit-9.png;src/assets/InventoryUiAssets.ts,assets/backpack1.swf,2,ui,等级数字 9,ready,confirmed,none,TASK-SETTINGS-166A
inventory-ui.exp.frame-01,mc_exp,restored-swf,public/assets/ui/inventory/native/exp-frame-01.png;src/assets/InventoryUiAssets.ts,assets/backpack1.swf,210,ui,经验进度 1/30,ready,confirmed,none,TASK-SETTINGS-166A；frame 1
inventory-ui.exp.frame-02,mc_exp,restored-swf,public/assets/ui/inventory/native/exp-frame-02.png;src/assets/InventoryUiAssets.ts,assets/backpack1.swf,210,ui,经验进度 2/30,ready,confirmed,none,TASK-SETTINGS-166A；frame 2
inventory-ui.exp.frame-03,mc_exp,restored-swf,public/assets/ui/inventory/native/exp-frame-03.png;src/assets/InventoryUiAssets.ts,assets/backpack1.swf,210,ui,经验进度 3/30,ready,confirmed,none,TASK-SETTINGS-166A；frame 3
inventory-ui.exp.frame-04,mc_exp,restored-swf,public/assets/ui/inventory/native/exp-frame-04.png;src/assets/InventoryUiAssets.ts,assets/backpack1.swf,210,ui,经验进度 4/30,ready,confirmed,none,TASK-SETTINGS-166A；frame 4
inventory-ui.exp.frame-05,mc_exp,restored-swf,public/assets/ui/inventory/native/exp-frame-05.png;src/assets/InventoryUiAssets.ts,assets/backpack1.swf,210,ui,经验进度 5/30,ready,confirmed,none,TASK-SETTINGS-166A；frame 5
inventory-ui.exp.frame-06,mc_exp,restored-swf,public/assets/ui/inventory/native/exp-frame-06.png;src/assets/InventoryUiAssets.ts,assets/backpack1.swf,210,ui,经验进度 6/30,ready,confirmed,none,TASK-SETTINGS-166A；frame 6
inventory-ui.exp.frame-07,mc_exp,restored-swf,public/assets/ui/inventory/native/exp-frame-07.png;src/assets/InventoryUiAssets.ts,assets/backpack1.swf,210,ui,经验进度 7/30,ready,confirmed,none,TASK-SETTINGS-166A；frame 7
inventory-ui.exp.frame-08,mc_exp,restored-swf,public/assets/ui/inventory/native/exp-frame-08.png;src/assets/InventoryUiAssets.ts,assets/backpack1.swf,210,ui,经验进度 8/30,ready,confirmed,none,TASK-SETTINGS-166A；frame 8
inventory-ui.exp.frame-09,mc_exp,restored-swf,public/assets/ui/inventory/native/exp-frame-09.png;src/assets/InventoryUiAssets.ts,assets/backpack1.swf,210,ui,经验进度 9/30,ready,confirmed,none,TASK-SETTINGS-166A；frame 9
inventory-ui.exp.frame-10,mc_exp,restored-swf,public/assets/ui/inventory/native/exp-frame-10.png;src/assets/InventoryUiAssets.ts,assets/backpack1.swf,210,ui,经验进度 10/30,ready,confirmed,none,TASK-SETTINGS-166A；frame 10
inventory-ui.exp.frame-11,mc_exp,restored-swf,public/assets/ui/inventory/native/exp-frame-11.png;src/assets/InventoryUiAssets.ts,assets/backpack1.swf,210,ui,经验进度 11/30,ready,confirmed,none,TASK-SETTINGS-166A；frame 11
inventory-ui.exp.frame-12,mc_exp,restored-swf,public/assets/ui/inventory/native/exp-frame-12.png;src/assets/InventoryUiAssets.ts,assets/backpack1.swf,210,ui,经验进度 12/30,ready,confirmed,none,TASK-SETTINGS-166A；frame 12
inventory-ui.exp.frame-13,mc_exp,restored-swf,public/assets/ui/inventory/native/exp-frame-13.png;src/assets/InventoryUiAssets.ts,assets/backpack1.swf,210,ui,经验进度 13/30,ready,confirmed,none,TASK-SETTINGS-166A；frame 13
inventory-ui.exp.frame-14,mc_exp,restored-swf,public/assets/ui/inventory/native/exp-frame-14.png;src/assets/InventoryUiAssets.ts,assets/backpack1.swf,210,ui,经验进度 14/30,ready,confirmed,none,TASK-SETTINGS-166A；frame 14
inventory-ui.exp.frame-15,mc_exp,restored-swf,public/assets/ui/inventory/native/exp-frame-15.png;src/assets/InventoryUiAssets.ts,assets/backpack1.swf,210,ui,经验进度 15/30,ready,confirmed,none,TASK-SETTINGS-166A；frame 15
inventory-ui.exp.frame-16,mc_exp,restored-swf,public/assets/ui/inventory/native/exp-frame-16.png;src/assets/InventoryUiAssets.ts,assets/backpack1.swf,210,ui,经验进度 16/30,ready,confirmed,none,TASK-SETTINGS-166A；frame 16
inventory-ui.exp.frame-17,mc_exp,restored-swf,public/assets/ui/inventory/native/exp-frame-17.png;src/assets/InventoryUiAssets.ts,assets/backpack1.swf,210,ui,经验进度 17/30,ready,confirmed,none,TASK-SETTINGS-166A；frame 17
inventory-ui.exp.frame-18,mc_exp,restored-swf,public/assets/ui/inventory/native/exp-frame-18.png;src/assets/InventoryUiAssets.ts,assets/backpack1.swf,210,ui,经验进度 18/30,ready,confirmed,none,TASK-SETTINGS-166A；frame 18
inventory-ui.exp.frame-19,mc_exp,restored-swf,public/assets/ui/inventory/native/exp-frame-19.png;src/assets/InventoryUiAssets.ts,assets/backpack1.swf,210,ui,经验进度 19/30,ready,confirmed,none,TASK-SETTINGS-166A；frame 19
inventory-ui.exp.frame-20,mc_exp,restored-swf,public/assets/ui/inventory/native/exp-frame-20.png;src/assets/InventoryUiAssets.ts,assets/backpack1.swf,210,ui,经验进度 20/30,ready,confirmed,none,TASK-SETTINGS-166A；frame 20
inventory-ui.exp.frame-21,mc_exp,restored-swf,public/assets/ui/inventory/native/exp-frame-21.png;src/assets/InventoryUiAssets.ts,assets/backpack1.swf,210,ui,经验进度 21/30,ready,confirmed,none,TASK-SETTINGS-166A；frame 21
inventory-ui.exp.frame-22,mc_exp,restored-swf,public/assets/ui/inventory/native/exp-frame-22.png;src/assets/InventoryUiAssets.ts,assets/backpack1.swf,210,ui,经验进度 22/30,ready,confirmed,none,TASK-SETTINGS-166A；frame 22
inventory-ui.exp.frame-23,mc_exp,restored-swf,public/assets/ui/inventory/native/exp-frame-23.png;src/assets/InventoryUiAssets.ts,assets/backpack1.swf,210,ui,经验进度 23/30,ready,confirmed,none,TASK-SETTINGS-166A；frame 23
inventory-ui.exp.frame-24,mc_exp,restored-swf,public/assets/ui/inventory/native/exp-frame-24.png;src/assets/InventoryUiAssets.ts,assets/backpack1.swf,210,ui,经验进度 24/30,ready,confirmed,none,TASK-SETTINGS-166A；frame 24
inventory-ui.exp.frame-25,mc_exp,restored-swf,public/assets/ui/inventory/native/exp-frame-25.png;src/assets/InventoryUiAssets.ts,assets/backpack1.swf,210,ui,经验进度 25/30,ready,confirmed,none,TASK-SETTINGS-166A；frame 25
inventory-ui.exp.frame-26,mc_exp,restored-swf,public/assets/ui/inventory/native/exp-frame-26.png;src/assets/InventoryUiAssets.ts,assets/backpack1.swf,210,ui,经验进度 26/30,ready,confirmed,none,TASK-SETTINGS-166A；frame 26
inventory-ui.exp.frame-27,mc_exp,restored-swf,public/assets/ui/inventory/native/exp-frame-27.png;src/assets/InventoryUiAssets.ts,assets/backpack1.swf,210,ui,经验进度 27/30,ready,confirmed,none,TASK-SETTINGS-166A；frame 27
inventory-ui.exp.frame-28,mc_exp,restored-swf,public/assets/ui/inventory/native/exp-frame-28.png;src/assets/InventoryUiAssets.ts,assets/backpack1.swf,210,ui,经验进度 28/30,ready,confirmed,none,TASK-SETTINGS-166A；frame 28
inventory-ui.exp.frame-29,mc_exp,restored-swf,public/assets/ui/inventory/native/exp-frame-29.png;src/assets/InventoryUiAssets.ts,assets/backpack1.swf,210,ui,经验进度 29/30,ready,confirmed,none,TASK-SETTINGS-166A；frame 29
inventory-ui.exp.frame-30,mc_exp,restored-swf,public/assets/ui/inventory/native/exp-frame-30.png;src/assets/InventoryUiAssets.ts,assets/backpack1.swf,210,ui,经验进度 MAX 30/30,ready,confirmed,none,TASK-SETTINGS-166A；frame 30
inventory-ui.sell-white.up,sellwhite,restored-swf,public/assets/ui/inventory/native/sell-white-up.png;src/assets/InventoryUiAssets.ts,assets/backpack1.swf,222,ui,出售白装按钮 up,ready,confirmed,none,TASK-SETTINGS-166A；button state 1
inventory-ui.sell-white.over,sellwhite,restored-swf,public/assets/ui/inventory/native/sell-white-over.png;src/assets/InventoryUiAssets.ts,assets/backpack1.swf,222,ui,出售白装按钮 over,ready,confirmed,none,TASK-SETTINGS-166A；与 up 视觉相同
inventory-ui.sell-white.down,sellwhite,restored-swf,public/assets/ui/inventory/native/sell-white-down.png;src/assets/InventoryUiAssets.ts,assets/backpack1.swf,222,ui,出售白装按钮 down,ready,confirmed,none,TASK-SETTINGS-166A；向下 2px
inventory-ui.fashion-toggle.hidden,showszmc,restored-swf,public/assets/ui/inventory/native/fashion-toggle-hidden.png;src/assets/InventoryUiAssets.ts,assets/backpack1.swf,297,ui,时装隐藏帧,ready,confirmed,none,TASK-SETTINGS-166A；frame 1
inventory-ui.fashion-toggle.shown,showszmc,restored-swf,public/assets/ui/inventory/native/fashion-toggle-shown.png;src/assets/InventoryUiAssets.ts,assets/backpack1.swf,297,ui,时装显示帧,ready,confirmed,none,TASK-SETTINGS-166A；frame 2
