stableKey,as3Name,sourceKind,sourcePath,sourcePackage,symbolId,scope,usage,status,confidence,nextAction,note
inventory-item._clj,_clj,restored-swf,public/assets/ui/inventory/items/_clj.png;src/assets/InventoryItemAssets.ts,assets/EIcon1.swf,18,ui,螭龙剑背包动态真图标,ready,confirmed,none,TASK-SLICE-160；原请求 _clj
inventory-item._cljzzs,qlgzzs,restored-swf,public/assets/ui/inventory/items/_cljzzs.png;src/assets/InventoryItemAssets.ts,assets/EIcon1.swf,507,ui,螭龙剑制作书背包动态真图标,ready,confirmed,none,TASK-SLICE-160；原请求 qlgzzs
inventory-item._dzj,_dzj,restored-swf,public/assets/ui/inventory/items/_dzj.png;src/assets/InventoryItemAssets.ts,assets/EIcon1.swf,386,ui,地藏戒背包动态真图标,ready,confirmed,none,TASK-SLICE-160；原请求 _dzj
inventory-item._ssggjtg,_ssggjtg,restored-swf,public/assets/ui/inventory/items/_ssggjtg.png;src/assets/InventoryItemAssets.ts,assets/EIcon1.swf,802,ui,光棍节脱光背包动态真图标,ready,confirmed,none,TASK-SLICE-160；原请求 _ssggjtg
inventory-item.bmd,bmd,restored-swf,public/assets/ui/inventory/items/bmd.png;src/assets/InventoryItemAssets.ts,assets/EIcon1.swf,521,ui,白牡丹背包动态真图标,ready,confirmed,none,TASK-SLICE-160；原请求 bmd
inventory-item.bsp,bsp,restored-swf,public/assets/ui/inventory/items/bsp.png;src/assets/InventoryItemAssets.ts,assets/EIcon1.swf,315,ui,壁水袍背包动态真图标,ready,confirmed,none,TASK-SLICE-160；原请求 bsp
inventory-item.bspzzs,bspzzs,restored-swf,public/assets/ui/inventory/items/bspzzs.png;src/assets/InventoryItemAssets.ts,assets/EIcon1.swf,255,ui,壁水袍制作书背包动态真图标,ready,confirmed,none,TASK-SLICE-160；原请求 bspzzs
inventory-item.bssz,bssz,restored-swf,public/assets/ui/inventory/items/bssz.png;src/assets/InventoryItemAssets.ts,assets/EIcon1.swf,699,ui,八神时装背包动态真图标,ready,confirmed,none,TASK-SLICE-160；原请求 bssz
inventory-item.bx,bx,restored-swf,public/assets/ui/inventory/items/bx.png;src/assets/InventoryItemAssets.ts,assets/EIcon1.swf,161,ui,传说装备宝箱背包动态真图标,ready,confirmed,none,TASK-SLICE-160；原请求 bx
inventory-item.bxg,bxg,restored-swf,public/assets/ui/inventory/items/bxg.png;src/assets/InventoryItemAssets.ts,assets/EIcon1.swf,345,ui,不屑狗背包动态真图标,ready,confirmed,none,TASK-SLICE-160；原请求 bxg
inventory-item.bxhy,bxhy,restored-swf,public/assets/ui/inventory/items/bxhy.png;src/assets/InventoryItemAssets.ts,assets/EIcon1.swf,355,ui,不朽花翼背包动态真图标,ready,confirmed,none,TASK-SLICE-160；原请求 bxhy
inventory-item.bxhyzzs,bxhyzzs,restored-swf,public/assets/ui/inventory/items/bxhyzzs.png;src/assets/InventoryItemAssets.ts,assets/EIcon1.swf,735,ui,不朽花翼制作书背包动态真图标,ready,confirmed,none,TASK-SLICE-160；原请求 bxhyzzs
inventory-item.chilj,chilj,restored-swf,public/assets/ui/inventory/items/chilj.png;src/assets/InventoryItemAssets.ts,assets/EIcon1.swf,885,ui,赤龙剑背包动态真图标,ready,confirmed,none,TASK-SLICE-160；原请求 chilj
inventory-item.chilp,chilp,restored-swf,public/assets/ui/inventory/items/chilp.png;src/assets/InventoryItemAssets.ts,assets/EIcon1.swf,887,ui,赤龙袍背包动态真图标,ready,confirmed,none,TASK-SLICE-160；原请求 chilp
inventory-item.clp,clp,restored-swf,public/assets/ui/inventory/items/clp.png;src/assets/InventoryItemAssets.ts,assets/EIcon1.swf,17,ui,螭龙袍背包动态真图标,ready,confirmed,none,TASK-SLICE-160；原请求 clp
inventory-item.clpzzs,qljzzs,restored-swf,public/assets/ui/inventory/items/clpzzs.png;src/assets/InventoryItemAssets.ts,assets/EIcon1.swf,495,ui,螭龙袍制作书背包动态真图标,ready,confirmed,none,TASK-SLICE-160；原请求 qljzzs
inventory-item.cs_fj_dz,cs_fj_dz,restored-swf,public/assets/ui/inventory/items/cs_fj_dz.png;src/assets/InventoryItemAssets.ts,assets/EIcon1.swf,183,ui,斗战背包动态真图标,ready,confirmed,none,TASK-SLICE-160；原请求 cs_fj_dz
