stableKey,as3Name,sourceKind,sourcePath,sourcePackage,symbolId,scope,usage,status,confidence,nextAction,note
magic-weapon.lxj.magic-sword2,MagicSword2_2,script-reference,src/assets/AssetManifest.ts;src/systems/ProjectileSystem.ts;docs/reverse-engineering/magic-weapons-index.md,,,effect,Implemented magic weapon visual magic-weapon.lxj.magic-sword2,source-corpus-ready,confirmed,locate-symbol,EVB source corpus recovered; exact source package and symbol not yet located
magic-weapon.fbqpj.qpjeffect,qpjeffect,script-reference,src/assets/AssetManifest.ts;src/systems/ProjectileSystem.ts;docs/reverse-engineering/magic-weapons-index.md,,,effect,Implemented magic weapon visual magic-weapon.fbqpj.qpjeffect,source-corpus-ready,confirmed,locate-symbol,EVB source corpus recovered; exact source package and symbol not yet located
magic-weapon.xhmt.magic-pearl-bullet1,MagicPearlBullet1,script-reference,src/assets/AssetManifest.ts;src/systems/ProjectileSystem.ts;docs/reverse-engineering/magic-weapons-index.md,,,effect,Implemented magic weapon visual magic-weapon.xhmt.magic-pearl-bullet1,source-corpus-ready,confirmed,locate-symbol,EVB source corpus recovered; exact source package and symbol not yet located
magic-weapon.xhmt.magic-pearl-bullet2,MagicPearlBullet2,script-reference,src/assets/AssetManifest.ts;src/systems/ProjectileSystem.ts;docs/reverse-engineering/magic-weapons-index.md,,,effect,Implemented magic weapon visual magic-weapon.xhmt.magic-pearl-bullet2,source-corpus-ready,confirmed,locate-symbol,EVB source corpus recovered; exact source package and symbol not yet located
magic-weapon.xhmt.magic-pearl-bullet3,MagicPearlBullet3,script-reference,src/assets/AssetManifest.ts;src/systems/ProjectileSystem.ts;docs/reverse-engineering/magic-weapons-index.md,,,effect,Implemented magic weapon visual magic-weapon.xhmt.magic-pearl-bullet3,source-corpus-ready,confirmed,locate-symbol,EVB source corpus recovered; exact source package and symbol not yet located
magic-weapon.zltc.zltcskill,zltcskill,script-reference,src/assets/AssetManifest.ts;src/systems/ProjectileSystem.ts;docs/reverse-engineering/magic-weapons-index.md,,,effect,Implemented magic weapon visual magic-weapon.zltc.zltcskill,source-corpus-ready,confirmed,locate-symbol,EVB source corpus recovered; exact source package and symbol not yet located
magic-weapon.qljfb.magic-big-sword,MagicBigSwordBmd,script-reference,src/assets/AssetManifest.ts;src/systems/MagicWeaponSystem.ts;docs/reverse-engineering/magic-weapons-index.md,,,effect,Implemented magic weapon visual magic-weapon.qljfb.magic-big-sword,source-corpus-ready,confirmed,locate-symbol,EVB source corpus recovered; exact source package and symbol not yet located
magic-weapon.qljfb.magic-big-bottle-data,MagicBigBottleData,script-reference,src/assets/AssetManifest.ts;src/systems/MagicWeaponSystem.ts;docs/reverse-engineering/magic-weapons-index.md,,,effect,Implemented magic weapon visual magic-weapon.qljfb.magic-big-bottle-data,source-corpus-ready,confirmed,locate-symbol,EVB source corpus recovered; exact source package and symbol not yet located
magic-weapon.stlp.ling-pai-effect,LingPaiEffect,script-reference,src/assets/AssetManifest.ts;src/systems/MagicWeaponSystem.ts;docs/reverse-engineering/magic-weapons-index.md,,,effect,Implemented magic weapon visual magic-weapon.stlp.ling-pai-effect,source-corpus-ready,confirmed,locate-symbol,EVB source corpus recovered; exact source package and symbol not yet located
magic-weapon.stlp.ef-snow,ef_snow,script-reference,src/assets/AssetManifest.ts;src/systems/ProjectileSystem.ts;docs/reverse-engineering/magic-weapons-index.md,,,effect,Implemented magic weapon visual magic-weapon.stlp.ef-snow,source-corpus-ready,confirmed,locate-symbol,EVB source corpus recovered; exact source package and symbol not yet located
