stableKey,as3Name,sourceKind,sourcePath,sourcePackage,symbolId,scope,usage,status,confidence,nextAction,note
map-service.immortality,export.immortality.ImmortalityInterface,restored-swf,local-resources/regima/source/restored-swfs/assets/OtherMat1.swf;local-resources/regima/task-outputs/task-settings-066-map-services/svg/immortality/DefineSprite_990_export.immortality.ImmortalityInterface/1.svg;public/assets/ui/map-services/immortality/root-static.svg;src/scenes/ImmortalityScene.ts,assets/OtherMat1.swf,990,ui,天庭地图丹药页面根显示列表,ready,confirmed,none,integrated by TASK-SLICE-155A；运行时剥离构造期隐藏 eatbtn 与动态 TextField；940x590 逐状态通过
map-service.shop,export.microshop.Micropayment,restored-swf,local-resources/regima/source/restored-swfs/assets/backpack1.swf;local-resources/regima/task-outputs/task-settings-066-map-services/svg/shop-task/DefineSprite_721_export.microshop.Micropayment/1.svg,assets/backpack1.swf,721,ui,天庭地图商城页面根显示列表,derived-ready,confirmed,integrate,原舞台 940x590；组合导出约 943.15x590；深层状态由 TASK-SETTINGS-066B 闭合
map-service.settings,export.setmenu.gameSetting,restored-swf,local-resources/regima/source/restored-swfs/assets/StageCommon.swf;local-resources/regima/task-outputs/task-settings-066-map-services/svg/settings/DefineSprite_148_export.setmenu.gameSetting/1.svg;public/assets/ui/map-services/settings/root-static.svg;src/scenes/heaven-map/FormalSettingsOverlay.ts,assets/StageCommon.swf,148,ui,天庭地图设置 overlay 根显示列表,ready,confirmed,none,由 TASK-SLICE-155C 接入；940x590 overlay；动态值和关闭按钮从静态根图移除并由运行时组合
map-service.tasks,export.taskInterface.TaskInterface,restored-swf,local-resources/regima/source/restored-swfs/assets/backpack1.swf;local-resources/regima/task-outputs/task-settings-066-map-services/svg/shop-task/DefineSprite_85_export.taskInterface.TaskInterface/1.svg;public/assets/ui/map-services/tasks/root.svg;src/scenes/TaskScene.ts,assets/backpack1.swf,85,ui,天庭地图任务页面根显示列表,ready,confirmed,none,integrated by TASK-SLICE-155D；940x590 居中面板与原生动态 child 已接入
map-service.immortality-cell,export.immortality.SingleImmortality,restored-swf,local-resources/regima/source/restored-swfs/assets/OtherMat1.swf;local-resources/regima/task-outputs/task-settings-066-map-services/deep-immortality/sprites/DefineSprite_969_export.immortality.SingleImmortality/1.svg;public/assets/ui/map-services/immortality/root-static.svg,assets/OtherMat1.swf,969,ui,丹药页单格底图与动态服用状态,ready,confirmed,none,integrated by TASK-SLICE-155A；55x55；运行时组合服用按钮或已服用真图标
map-service.immortality-eat-button,export.immortality.SingleImmortality.eatbtn,restored-swf,local-resources/regima/source/restored-swfs/assets/OtherMat1.swf;local-resources/regima/task-outputs/task-settings-066-map-services/deep-immortality/buttons/DefineButton2_968/combined.svg;public/assets/ui/map-services/immortality/eat-up.png,assets/OtherMat1.swf,968,ui,丹药页服用丹药按钮四状态,ready,confirmed,none,integrated by TASK-SLICE-155A；up/over 同图；down 下移 2px；42x45 hit
map-service.immortality-compound-button,export.immortality.ExchangeImmortality.compound,restored-swf,local-resources/regima/source/restored-swfs/assets/OtherMat1.swf;local-resources/regima/task-outputs/task-settings-066-map-services/deep-immortality/buttons/DefineButton2_989/combined.svg;public/assets/ui/map-services/immortality/compound-up.png,assets/OtherMat1.swf,989,ui,丹药页炼制按钮四状态,ready,confirmed,none,integrated by TASK-SLICE-155A；61x33；根页和炼制弹窗共用
map-service.immortality-back-button,export.immortality.ImmortalityInterface.btnback,restored-swf,local-resources/regima/source/restored-swfs/assets/OtherMat1.swf;local-resources/regima/task-outputs/task-settings-066-map-services/deep-immortality/buttons/DefineButton2_973/combined.svg;public/assets/ui/map-services/immortality/back-up.png,assets/OtherMat1.swf,973,ui,丹药页返回按钮四状态,ready,confirmed,none,integrated by TASK-SLICE-155A；84x31 hit；up 位于 y=-2
map-service.immortality-exchange,export.immortality.ExchangeImmortality,restored-swf,local-resources/regima/source/restored-swfs/assets/OtherMat1.swf;local-resources/regima/task-outputs/task-settings-066-map-services/deep-immortality/sprites/DefineSprite_1006_export.immortality.ExchangeImmortality/1.svg;public/assets/ui/map-services/immortality/exchange.svg,assets/OtherMat1.swf,1006,ui,丹药炼制五配方弹窗,ready,confirmed,none,integrated by TASK-SLICE-155A；940x590；透明全舞台阻挡面与五行配方
map-service.immortality-exchange-close,export.immortality.ExchangeImmortality.closebtn,restored-swf,local-resources/regima/source/restored-swfs/assets/OtherMat1.swf;local-resources/regima/task-outputs/task-settings-066-map-services/deep-immortality/buttons/DefineButton2_997/combined.svg;public/assets/ui/map-services/immortality/close-up.png,assets/OtherMat1.swf,997,ui,丹药炼制弹窗关闭按钮四状态,ready,confirmed,none,integrated by TASK-SLICE-155A；40x40 可见；up 位于 y=-2
map-service.immortality-owner-wk,export.shop.SelectWK,restored-swf,local-resources/regima/source/restored-swfs/assets/OtherMat1.swf;local-resources/regima/task-outputs/task-settings-066-map-services/deep-immortality/sprites/DefineSprite_218_export.shop.SelectWK/1.svg;public/assets/ui/map-services/immortality/owner-1-normal.svg,assets/OtherMat1.swf,218,ui,丹药页悟空 owner 选择器,ready,confirmed,none,integrated by TASK-SLICE-155A；frame1 normal；frame2 selected；76x45
map-service.immortality-owner-ts,export.shop.SelectTS,restored-swf,local-resources/regima/source/restored-swfs/assets/OtherMat1.swf;local-resources/regima/task-outputs/task-settings-066-map-services/deep-immortality/sprites/DefineSprite_223_export.shop.SelectTS/1.svg;public/assets/ui/map-services/immortality/owner-2-normal.svg,assets/OtherMat1.swf,223,ui,丹药页唐僧 owner 选择器,ready,confirmed,none,integrated by TASK-SLICE-155A；frame1 normal；frame2 selected；81x45
map-service.immortality-owner-ss,export.shop.SelectSS,restored-swf,local-resources/regima/source/restored-swfs/assets/OtherMat1.swf;local-resources/regima/task-outputs/task-settings-066-map-services/deep-immortality/sprites/DefineSprite_228_export.shop.SelectSS/1.svg;public/assets/ui/map-services/immortality/owner-3-normal.svg,assets/OtherMat1.swf,228,ui,丹药页沙僧 owner 选择器,ready,confirmed,none,integrated by TASK-SLICE-155A；frame1 normal；frame2 selected；81x45
map-service.immortality-owner-bj,export.shop.SelectBJ,restored-swf,local-resources/regima/source/restored-swfs/assets/OtherMat1.swf;local-resources/regima/task-outputs/task-settings-066-map-services/deep-immortality/sprites/DefineSprite_233_export.shop.SelectBJ/1.svg;public/assets/ui/map-services/immortality/owner-4-normal.svg,assets/OtherMat1.swf,233,ui,丹药页八戒 owner 选择器,ready,confirmed,none,integrated by TASK-SLICE-155A；frame1 normal；frame2 selected；78x44
map-service.immortality-owner-bl,export.shop.SelectBL,restored-swf,local-resources/regima/source/restored-swfs/assets/OtherMat1.swf;local-resources/regima/task-outputs/task-settings-066-map-services/deep-immortality/sprites/DefineSprite_871_export.shop.SelectBL/1.svg;public/assets/ui/map-services/immortality/owner-5-normal.svg,assets/OtherMat1.swf,871,ui,丹药页白龙 owner 选择器,ready,confirmed,none,integrated by TASK-SLICE-155A；frame1 normal；frame2 selected；68x36.3
map-service.shop-card,export.microshop.ShopThing,restored-swf,local-resources/regima/source/restored-swfs/assets/backpack1.swf;local-resources/regima/task-outputs/task-settings-066-map-services/deep-shop/sprites/DefineSprite_717_export.microshop.ShopThing/1.svg,assets/backpack1.swf,717,ui,商城九宫格单商品卡与动态商品 child,derived-ready,confirmed,integrate,212x88；名称/价格/数量/购买/上下箭头与 PackThings 动态图标见 shop-ui-index.md
map-service.shop-confirm,export.microshop.SumInterface,restored-swf,local-resources/regima/source/restored-swfs/assets/backpack1.swf;local-resources/regima/task-outputs/task-settings-066-map-services/deep-shop/sprites/DefineSprite_624_export.microshop.SumInterface/1.svg,assets/backpack1.swf,624,ui,商城购买确认全舞台模态,derived-ready,confirmed,integrate,940x590；33% 遮罩、231x133 面板、确认/取消与动态文字
map-service.shop-category-all,export.microshop.Micropayment.btn_buyall,restored-swf,local-resources/regima/source/restored-swfs/assets/backpack1.swf;local-resources/regima/task-outputs/task-settings-066-map-services/deep-shop/buttons/DefineButton2_658/combined.svg,assets/backpack1.swf,658,ui,商城全部分类按钮,derived-ready,confirmed,integrate,80x36；over=down；selected 使用 down
map-service.shop-category-gem,export.microshop.Micropayment.btn_buybs,restored-swf,local-resources/regima/source/restored-swfs/assets/backpack1.swf;local-resources/regima/task-outputs/task-settings-066-map-services/deep-shop/buttons/DefineButton2_643/combined.svg,assets/backpack1.swf,643,ui,商城宝石分类按钮,derived-ready,confirmed,integrate,80x36；over=down；selected 使用 down
map-service.shop-category-item,export.microshop.Micropayment.btn_buydj,restored-swf,local-resources/regima/source/restored-swfs/assets/backpack1.swf;local-resources/regima/task-outputs/task-settings-066-map-services/deep-shop/buttons/DefineButton2_636/combined.svg,assets/backpack1.swf,636,ui,商城道具分类按钮,derived-ready,confirmed,integrate,80x36；over=down；selected 使用 down
map-service.shop-category-fashion,export.microshop.Micropayment.btn_buysz,restored-swf,local-resources/regima/source/restored-swfs/assets/backpack1.swf;local-resources/regima/task-outputs/task-settings-066-map-services/deep-shop/buttons/DefineButton2_653/combined.svg,assets/backpack1.swf,653,ui,商城时装分类按钮,derived-ready,confirmed,integrate,80x36；over=down；selected 使用 down
map-service.shop-category-pet,export.microshop.Micropayment.btn_buycw,restored-swf,local-resources/regima/source/restored-swfs/assets/backpack1.swf;local-resources/regima/task-outputs/task-settings-066-map-services/deep-shop/buttons/DefineButton2_648/combined.svg,assets/backpack1.swf,648,ui,商城宠物分类按钮,derived-ready,confirmed,integrate,80x36；over=down；selected 使用 down
map-service.shop-charge,export.microshop.Micropayment.btn_cz,restored-swf,local-resources/regima/source/restored-swfs/assets/backpack1.swf;local-resources/regima/task-outputs/task-settings-066-map-services/deep-shop/buttons/DefineButton2_668/combined.svg,assets/backpack1.swf,668,ui,商城充值按钮原四态,derived-ready,confirmed,integrate,139x49；点击只显示单机灵魂购买提示
map-service.shop-owner-p1,export.microshop.Micropayment.btn_play1,restored-swf,local-resources/regima/source/restored-swfs/assets/backpack1.swf;local-resources/regima/task-outputs/task-settings-066-map-services/deep-shop/buttons/DefineButton2_675/combined.svg,assets/backpack1.swf,675,ui,商城 P1 owner 按钮,derived-ready,confirmed,integrate,82x32；selected 使用 over
map-service.shop-owner-p2,export.microshop.Micropayment.btn_play2,restored-swf,local-resources/regima/source/restored-swfs/assets/backpack1.swf;local-resources/regima/task-outputs/task-settings-066-map-services/deep-shop/buttons/DefineButton2_680/combined.svg,assets/backpack1.swf,680,ui,商城 P2 owner 按钮,derived-ready,confirmed,integrate,82x32；单人隐藏；selected 使用 over
