stableKey,as3Name,sourceKind,sourcePath,sourcePackage,symbolId,scope,usage,status,confidence,nextAction,note
pet-skill.monkey1.xj,PetMonkey1Bullet2,restored-swf,local-resources/regima/source/restored-swfs/assets/20120203.swf;local-resources/regima/source/restored-swfs/assets/pet1.swf,assets/20120203.swf,229,effect,monkey1 xj 16-frame looping projectile,derived-ready,confirmed,integrate,TASK-SETTINGS-193A verified patch owner registration emit matrix and four-second lifecycle; pair implementation is TASK-SLICE-193B.
pet-skill.monkey2.lj,PetMonkey2Bullet2_1;PetMonkey2Bullet2_2,restored-swf,local-resources/regima/source/restored-swfs/assets/20120203.swf;local-resources/regima/source/restored-swfs/assets/pet1.swf,assets/20120203.swf,207;208,effect,monkey2 lj two-stage 4+5 frame effect,derived-ready,confirmed,integrate,TASK-SETTINGS-193A requires both prelude and damage objects; pair implementation is TASK-SLICE-193B.
pet-skill.monkey2.xj,PetMonkey1Bullet2,restored-swf,local-resources/regima/source/restored-swfs/assets/20120203.swf;local-resources/regima/source/restored-swfs/assets/pet1.swf,assets/20120203.swf,229,effect,monkey2 xj reuses monkey1 16-frame projectile,derived-ready,confirmed,integrate,TASK-SETTINGS-193A disproves the modern PetMonkey2Bullet3 source name; pair implementation must reuse PetMonkey1Bullet2.
pet-skill.monkey3.lyq,PetMonkey3Bullet2,restored-swf,local-resources/regima/source/restored-swfs/assets/20120203.swf;local-resources/regima/source/restored-swfs/assets/pet1.swf,assets/20120203.swf,192,effect,monkey3 and monkey4 lyq 25-frame projectile,derived-ready,confirmed,integrate,TASK-SETTINGS-193A verified patch owner registration emit matrix and last-frame destruction.
pet-skill.monkey3.xj,PetMonkey1Bullet2,restored-swf,local-resources/regima/source/restored-swfs/assets/20120203.swf;local-resources/regima/source/restored-swfs/assets/pet1.swf,assets/20120203.swf,229,effect,monkey3 and monkey4 xj reuse monkey1 projectile,derived-ready,confirmed,integrate,TASK-SETTINGS-193A verifies shared visual owner with form-specific emit offsets.
pet-skill.monkey3.lj,PetMonkey3Bullet3_1;PetMonkey3Bullet3_2,restored-swf,local-resources/regima/source/restored-swfs/assets/20120203.swf;local-resources/regima/source/restored-swfs/assets/pet1.swf,assets/20120203.swf,136;137,effect,monkey3 and monkey4 lj prelude plus damage stage,derived-ready,confirmed,integrate,TASK-SETTINGS-193A requires disabled behind-pet prelude and visible damage stage; modern single-stage projection is incomplete.
pet-skill.monkey4.jgaoyi,PetMonkeyBmd4,restored-swf,local-resources/regima/source/restored-swfs/assets/pet1.swf,assets/pet1.swf,20,effect,monkey4 jgaoyi body hit5 row8,derived-ready,confirmed,integrate,TASK-SETTINGS-193A confirms no independent projectile visual; TASK-SLICE-193B must consume the body action.
pet-skill.horse1.sp,PetHorse1Bullet2,restored-swf,local-resources/regima/source/restored-swfs/assets/20120203.swf;local-resources/regima/source/restored-swfs/assets/pet1.swf,assets/20120203.swf,124,effect,horse1 sp projectile,export-ready,confirmed,export-selectively,horse family is partitioned to TASK-SETTINGS-193C; modern visibility remains placeholder or absent until its paired implementation task.
pet-skill.horse2.bd,PetHorse2Bullet2,restored-swf,local-resources/regima/source/restored-swfs/assets/20120203.swf;local-resources/regima/source/restored-swfs/assets/pet1.swf,assets/20120203.swf,101,effect,horse2 bd projectile,export-ready,confirmed,export-selectively,horse family is partitioned to TASK-SETTINGS-193C; modern visibility remains placeholder or absent until its paired implementation task.
pet-skill.horse3.bz,PetHorse3Bullet4,restored-swf,local-resources/regima/source/restored-swfs/assets/20120203.swf;local-resources/regima/source/restored-swfs/assets/pet1.swf,assets/20120203.swf,82,effect,horse3 bz projectile,export-ready,confirmed,export-selectively,horse family is partitioned to TASK-SETTINGS-193C; modern visibility remains placeholder or absent until its paired implementation task.
