stableKey,as3Name,sourceKind,sourcePath,sourcePackage,symbolId,scope,usage,status,confidence,nextAction,note
save-party.number.up,export.GameMenu,restored-swf,local-resources/regima/source/restored-swfs/assets/OtherMat1.swf;public/assets/ui/save-slots/start-menu.svg;public/assets/ui/save-party/select-number-up.png,assets/OtherMat1.swf,1149,ui,新建存档人数选择根图,ready,confirmed,none,showSelectNum transforms applied at 940x590
save-party.number.1p-over,simpleGame,restored-swf,local-resources/regima/source/restored-swfs/assets/OtherMat1.swf;public/assets/ui/save-party/select-number-1p-over.png,assets/OtherMat1.swf,1111,ui,单人游戏 hover,ready,confirmed,none,character 1110 over at y -2
save-party.number.1p-down,simpleGame,restored-swf,local-resources/regima/source/restored-swfs/assets/OtherMat1.swf;public/assets/ui/save-party/select-number-1p-down.png,assets/OtherMat1.swf,1111,ui,单人游戏 pressed,ready,confirmed,none,character 1110 down at y 0
save-party.number.2p-over,doubleGame,restored-swf,local-resources/regima/source/restored-swfs/assets/OtherMat1.swf;public/assets/ui/save-party/select-number-2p-over.png,assets/OtherMat1.swf,1115,ui,双人游戏 hover,ready,confirmed,none,character 1113 over at y -2
save-party.number.2p-down,doubleGame,restored-swf,local-resources/regima/source/restored-swfs/assets/OtherMat1.swf;public/assets/ui/save-party/select-number-2p-down.png,assets/OtherMat1.swf,1115,ui,双人游戏 pressed,ready,confirmed,none,character 1113 down at y 0
save-party.number.back-over,backbtn,restored-swf,local-resources/regima/source/restored-swfs/assets/OtherMat1.swf;public/assets/ui/save-party/select-number-back-over.png,assets/OtherMat1.swf,1136,ui,人数选择返回 hover,ready,confirmed,none,character 1134 over
save-party.number.back-down,backbtn,restored-swf,local-resources/regima/source/restored-swfs/assets/OtherMat1.swf;public/assets/ui/save-party/select-number-back-down.png,assets/OtherMat1.swf,1136,ui,人数选择返回 pressed,ready,confirmed,none,character 1133 down
save-party.role.up,export.SelectRole,restored-swf,local-resources/regima/source/restored-swfs/assets/OtherMat1.swf;local-resources/regima/task-outputs/task-settings-065-save-party/select-role-svg/DefineSprite_901_export.SelectRole/1.png;public/assets/ui/save-party/select-role-up.png,assets/OtherMat1.swf,901,ui,五角色选择根图,ready,confirmed,none,1081x1067 export cropped x0..939 y189..778 to 940x590
save-party.marker.p1,SelectRole 1P marker,restored-swf,local-resources/regima/source/restored-swfs/assets/OtherMat1.swf;local-resources/regima/task-outputs/task-settings-065-save-party/player-markers/images/115_1P.png;public/assets/ui/save-party/marker-p1.png,assets/OtherMat1.swf,115,ui,P1 hover marker,ready,confirmed,none,84x84 image at card x minus 50 and y 40
save-party.marker.p2,SelectRole 2P marker,restored-swf,local-resources/regima/source/restored-swfs/assets/OtherMat1.swf;local-resources/regima/task-outputs/task-settings-065-save-party/player-markers/images/108_2P.png;public/assets/ui/save-party/marker-p2.png,assets/OtherMat1.swf,108,ui,P2 hover marker,ready,confirmed,none,84x84 image at card x minus 50 and y 40
save-party.role1.up,SelectRole btn1,restored-swf,local-resources/regima/source/restored-swfs/assets/OtherMat1.swf;local-resources/regima/task-outputs/task-settings-065-save-party/select-role-children/buttons/DefineButton2_877/1_up.png;public/assets/ui/save-party/role1-1_up.png,assets/OtherMat1.swf,877,ui,孙悟空 normal,ready,confirmed,none,source crop y189..778
save-party.role1.over,SelectRole btn1,restored-swf,local-resources/regima/source/restored-swfs/assets/OtherMat1.swf;local-resources/regima/task-outputs/task-settings-065-save-party/select-role-children/buttons/DefineButton2_877/2_over.png;public/assets/ui/save-party/role1-2_over.png,assets/OtherMat1.swf,877,ui,孙悟空 hover,ready,confirmed,none,source crop y189..778
save-party.role1.down,SelectRole btn1,restored-swf,local-resources/regima/source/restored-swfs/assets/OtherMat1.swf;local-resources/regima/task-outputs/task-settings-065-save-party/select-role-children/buttons/DefineButton2_877/3_down.png;public/assets/ui/save-party/role1-3_down.png,assets/OtherMat1.swf,877,ui,孙悟空 pressed or selected,ready,confirmed,none,source crop y189..778
save-party.role2.up,SelectRole btn2,restored-swf,local-resources/regima/source/restored-swfs/assets/OtherMat1.swf;local-resources/regima/task-outputs/task-settings-065-save-party/select-role-children/buttons/DefineButton2_883/1_up.png;public/assets/ui/save-party/role2-1_up.png,assets/OtherMat1.swf,883,ui,唐僧 normal,ready,confirmed,none,source crop y189..778
save-party.role2.over,SelectRole btn2,restored-swf,local-resources/regima/source/restored-swfs/assets/OtherMat1.swf;local-resources/regima/task-outputs/task-settings-065-save-party/select-role-children/buttons/DefineButton2_883/2_over.png;public/assets/ui/save-party/role2-2_over.png,assets/OtherMat1.swf,883,ui,唐僧 hover,ready,confirmed,none,source crop y189..778
save-party.role2.down,SelectRole btn2,restored-swf,local-resources/regima/source/restored-swfs/assets/OtherMat1.swf;local-resources/regima/task-outputs/task-settings-065-save-party/select-role-children/buttons/DefineButton2_883/3_down.png;public/assets/ui/save-party/role2-3_down.png,assets/OtherMat1.swf,883,ui,唐僧 pressed or selected,ready,confirmed,none,source crop y189..778
save-party.role3.up,SelectRole btn3,restored-swf,local-resources/regima/source/restored-swfs/assets/OtherMat1.swf;local-resources/regima/task-outputs/task-settings-065-save-party/select-role-children/buttons/DefineButton2_888/1_up.png;public/assets/ui/save-party/role3-1_up.png,assets/OtherMat1.swf,888,ui,猪八戒 normal,ready,confirmed,none,source crop y189..778
save-party.role3.over,SelectRole btn3,restored-swf,local-resources/regima/source/restored-swfs/assets/OtherMat1.swf;local-resources/regima/task-outputs/task-settings-065-save-party/select-role-children/buttons/DefineButton2_888/2_over.png;public/assets/ui/save-party/role3-2_over.png,assets/OtherMat1.swf,888,ui,猪八戒 hover,ready,confirmed,none,source crop y189..778
save-party.role3.down,SelectRole btn3,restored-swf,local-resources/regima/source/restored-swfs/assets/OtherMat1.swf;local-resources/regima/task-outputs/task-settings-065-save-party/select-role-children/buttons/DefineButton2_888/3_down.png;public/assets/ui/save-party/role3-3_down.png,assets/OtherMat1.swf,888,ui,猪八戒 pressed or selected,ready,confirmed,none,source crop y189..778
save-party.role4.up,SelectRole btn4,restored-swf,local-resources/regima/source/restored-swfs/assets/OtherMat1.swf;local-resources/regima/task-outputs/task-settings-065-save-party/select-role-children/buttons/DefineButton2_894/1_up.png;public/assets/ui/save-party/role4-1_up.png,assets/OtherMat1.swf,894,ui,沙僧 normal,ready,confirmed,none,source crop y189..778
save-party.role4.over,SelectRole btn4,restored-swf,local-resources/regima/source/restored-swfs/assets/OtherMat1.swf;local-resources/regima/task-outputs/task-settings-065-save-party/select-role-children/buttons/DefineButton2_894/2_over.png;public/assets/ui/save-party/role4-2_over.png,assets/OtherMat1.swf,894,ui,沙僧 hover,ready,confirmed,none,source crop y189..778
save-party.role4.down,SelectRole btn4,restored-swf,local-resources/regima/source/restored-swfs/assets/OtherMat1.swf;local-resources/regima/task-outputs/task-settings-065-save-party/select-role-children/buttons/DefineButton2_894/3_down.png;public/assets/ui/save-party/role4-3_down.png,assets/OtherMat1.swf,894,ui,沙僧 pressed or selected,ready,confirmed,none,source crop y189..778
save-party.role5.up,SelectRole btn5,restored-swf,local-resources/regima/source/restored-swfs/assets/OtherMat1.swf;local-resources/regima/task-outputs/task-settings-065-save-party/select-role-children/buttons/DefineButton2_900/1_up.png;public/assets/ui/save-party/role5-1_up.png,assets/OtherMat1.swf,900,ui,白龙 normal,ready,confirmed,none,source crop y189..778; character 895 excluded as empty button
save-party.role5.over,SelectRole btn5,restored-swf,local-resources/regima/source/restored-swfs/assets/OtherMat1.swf;local-resources/regima/task-outputs/task-settings-065-save-party/select-role-children/buttons/DefineButton2_900/2_over.png;public/assets/ui/save-party/role5-2_over.png,assets/OtherMat1.swf,900,ui,白龙 hover,ready,confirmed,none,source crop y189..778; character 895 excluded as empty button
save-party.role5.down,SelectRole btn5,restored-swf,local-resources/regima/source/restored-swfs/assets/OtherMat1.swf;local-resources/regima/task-outputs/task-settings-065-save-party/select-role-children/buttons/DefineButton2_900/3_down.png;public/assets/ui/save-party/role5-3_down.png,assets/OtherMat1.swf,900,ui,白龙 pressed or selected,ready,confirmed,none,source crop y189..778; character 895 excluded as empty button
