stableKey,as3Name,sourceKind,sourcePath,sourcePackage,symbolId,scope,usage,status,confidence,nextAction,note
stage-feature-entry.role-info,export.RoleInfo,restored-swf,local-resources/regima/source/restored-swfs/assets/OtherMat1.swf;local-resources/regima/task-outputs/task-settings-067-stage-feature-entry/sprites/DefineSprite_574_export.RoleInfo/1.png,assets/OtherMat1.swf,574,ui,正式关卡单玩家 HUD 与五功能入口根显示列表,derived-ready,confirmed,integrate,940x590；P2 父级 x=920 scaleX=-1 且按钮局部反转
stage-feature-entry.settings-button,export.RoleInfo.btn_set,restored-swf,local-resources/regima/source/restored-swfs/assets/OtherMat1.swf;local-resources/regima/task-outputs/task-settings-067-stage-feature-entry/buttons/DefineButton2_549,assets/OtherMat1.swf,549,ui,关卡 HUD 设置入口 up 与共享 over/down,derived-ready,confirmed,integrate,47x43；depth 52；无独立 disabled
stage-feature-entry.backpack-button,export.RoleInfo.btn_bb,restored-swf,local-resources/regima/source/restored-swfs/assets/OtherMat1.swf;local-resources/regima/task-outputs/task-settings-067-stage-feature-entry/buttons/DefineButton2_555,assets/OtherMat1.swf,555,ui,关卡 HUD 背包入口 up 与共享 over/down,derived-ready,confirmed,integrate,47x44；depth 55；共享 hittest 418
stage-feature-entry.skills-button,export.RoleInfo.btn_study,restored-swf,local-resources/regima/source/restored-swfs/assets/OtherMat1.swf;local-resources/regima/task-outputs/task-settings-067-stage-feature-entry/buttons/DefineButton2_561,assets/OtherMat1.swf,561,ui,关卡 HUD 技能入口 up 与共享 over/down,derived-ready,confirmed,integrate,47x40；depth 58；P2 星号不改变原页默认 P1
stage-feature-entry.magic-weapon-button,export.RoleInfo.btn_fb,restored-swf,local-resources/regima/source/restored-swfs/assets/OtherMat1.swf;local-resources/regima/task-outputs/task-settings-067-stage-feature-entry/buttons/DefineButton2_567,assets/OtherMat1.swf,567,ui,关卡 HUD 法宝入口 up 与共享 over/down,derived-ready,confirmed,integrate,47x41；depth 61；P2 有 pointer 无独立快捷键
stage-feature-entry.pet-button,export.RoleInfo.btn_cw,restored-swf,local-resources/regima/source/restored-swfs/assets/OtherMat1.swf;local-resources/regima/task-outputs/task-settings-067-stage-feature-entry/buttons/DefineButton2_573,assets/OtherMat1.swf,573,ui,关卡 HUD 宠物入口 up 与共享 over/down,derived-ready,confirmed,integrate,47x46；depth 64；共享 hittest 418
stage-feature-entry.set-menu,export.setmenu.SetMenu,restored-swf,local-resources/regima/source/restored-swfs/assets/OtherMat1.swf;local-resources/regima/task-outputs/task-settings-067-stage-feature-entry/sprites/DefineSprite_371_export.setmenu.SetMenu/1.png,assets/OtherMat1.swf,371,ui,关卡设置 940x590 根显示列表,derived-ready,confirmed,integrate,区别于 StageCommon 148 地图设置；含继续/声音/地图/帮助/出怪速度/主菜单/关闭
stage-feature-entry.set-close,export.setmenu.SetMenu.btn_x,restored-swf,local-resources/regima/source/restored-swfs/assets/OtherMat1.swf;local-resources/regima/task-outputs/task-settings-067-stage-feature-entry/buttons/DefineButton2_337,assets/OtherMat1.swf,337,ui,关卡设置右上关闭按钮,derived-ready,confirmed,integrate,40x44；up/down/hit 同帧；over 独立
stage-feature-entry.set-continue,export.setmenu.SetMenu.btn_continue,restored-swf,local-resources/regima/source/restored-swfs/assets/OtherMat1.swf;local-resources/regima/task-outputs/task-settings-067-stage-feature-entry/buttons/DefineButton2_342,assets/OtherMat1.swf,342,ui,关卡设置继续游戏按钮四状态,derived-ready,confirmed,integrate,124x42；up/over/down/hit 独立
stage-feature-entry.set-map,export.setmenu.SetMenu.btn_back_selectmap,restored-swf,local-resources/regima/source/restored-swfs/assets/OtherMat1.swf;local-resources/regima/task-outputs/task-settings-067-stage-feature-entry/buttons/DefineButton2_347,assets/OtherMat1.swf,347,ui,关卡设置返回地图按钮四状态,derived-ready,confirmed,integrate,105x34；关闭并销毁战斗后按 whichlastworld 路由
stage-feature-entry.set-help,export.setmenu.SetMenu.btn_help,restored-swf,local-resources/regima/source/restored-swfs/assets/OtherMat1.swf;local-resources/regima/task-outputs/task-settings-067-stage-feature-entry/buttons/DefineButton2_351,assets/OtherMat1.swf,351,ui,关卡设置游戏帮助按钮四状态,derived-ready,confirmed,integrate,105x31；打开 Help 444；over 上移 2px
stage-feature-entry.set-menu-return,export.setmenu.SetMenu.btn_back_menu,restored-swf,local-resources/regima/source/restored-swfs/assets/OtherMat1.swf;local-resources/regima/task-outputs/task-settings-067-stage-feature-entry/buttons/DefineButton2_355,assets/OtherMat1.swf,355,ui,关卡设置返回主菜单按钮四状态,derived-ready,confirmed,integrate,132x32；关闭并 destroyMode 后进入 GameMenu
stage-feature-entry.set-sound-open,export.setmenu.SetMenu.btn_sound_open,restored-swf,local-resources/regima/source/restored-swfs/assets/OtherMat1.swf;local-resources/regima/task-outputs/task-settings-067-stage-feature-entry/buttons/DefineButton2_359,assets/OtherMat1.swf,359,ui,关卡设置开启声音按钮状态,derived-ready,confirmed,integrate,111x37；与 362 同位置并按 soundStay 互斥可见
stage-feature-entry.set-sound-close,export.setmenu.SetMenu.btn_sound_close,restored-swf,local-resources/regima/source/restored-swfs/assets/OtherMat1.swf;local-resources/regima/task-outputs/task-settings-067-stage-feature-entry/buttons/DefineButton2_362,assets/OtherMat1.swf,362,ui,关卡设置关闭声音按钮状态,derived-ready,confirmed,integrate,98x26；与 359 同位置并按 soundStay 互斥可见
stage-feature-entry.set-spawn-speed,export.setmenu.SetMenu.huazhi;export.setmenu.SetMenu.btn_huazhi,restored-swf,local-resources/regima/source/restored-swfs/assets/OtherMat1.swf;local-resources/regima/task-outputs/task-settings-067-stage-feature-entry/buttons/DefineButton2_370,assets/OtherMat1.swf,370,ui,关卡设置出怪速度 x1/x2/x4 与点击区,derived-ready,confirmed,integrate,116x29 hit；值仅 1→2→4→1；显示 MovieClip 366 三帧
stage-feature-entry.help,export.Help,restored-swf,local-resources/regima/source/restored-swfs/assets/OtherMat1.swf;local-resources/regima/task-outputs/task-settings-067-stage-feature-entry/help/DefineSprite_444_export.Help,assets/OtherMat1.swf,444,ui,关卡设置游戏帮助两帧子页,derived-ready,confirmed,integrate,940x590；frame1 操作指南；frame2 捕捉宠物；三个独立按钮
