stableKey,as3Name,sourceKind,sourcePath,sourcePackage,symbolId,scope,usage,status,confidence,nextAction,note
monster.stage1.monster2.atlas,Monster2,restored-swf,local-resources/regima/source/restored-swfs/assets/1.swf;local-resources/regima/task-outputs/task-settings-068-stage1-monsters/derived/images/2_Monster2.png;local-resources/regima/task-outputs/task-settings-068-stage1-monsters/monster-frame-geometry.csv,assets/1.swf,2,monster,Stage 1-2 Monster2 wait/walk/hurt/dead/hit1/hit2 atlas,derived-ready,confirmed,integrate,"1140x1140; 190x190 cells; 25 visual frames; offset (-20,-10)"
monster.stage1.monster3.atlas,Monster3,restored-swf,local-resources/regima/source/restored-swfs/assets/1.swf;local-resources/regima/task-outputs/task-settings-068-stage1-monsters/derived/images/4_Monster3.png;local-resources/regima/task-outputs/task-settings-068-stage1-monsters/monster-frame-geometry.csv,assets/1.swf,4,monster,Stage 1-1 boss and Stage 1-3 normal Monster3 atlas,derived-ready,confirmed,integrate,"1080x1080; 180x180 cells; 27 visual frames; offset (20,-5)"
monster.stage1.monster4.atlas,Monster4,restored-swf,local-resources/regima/source/restored-swfs/assets/1.swf;local-resources/regima/task-outputs/task-settings-068-stage1-monsters/derived/images/3_Monster4.png;local-resources/regima/task-outputs/task-settings-068-stage1-monsters/monster-frame-geometry.csv,assets/1.swf,3,monster,Stage 1-2 Monster4 wait/walk/hurt/dead/hit1/hit2 atlas,derived-ready,confirmed,integrate,"1140x1140; 190x190 cells; 26 visual frames; offset (0,-10)"
monster.stage1.monster5.atlas,Monster5,restored-swf,local-resources/regima/source/restored-swfs/assets/1.swf;local-resources/regima/task-outputs/task-settings-068-stage1-monsters/derived/images/5_Monster5.png;local-resources/regima/task-outputs/task-settings-068-stage1-monsters/monster-frame-geometry.csv,assets/1.swf,5,monster,Stage 1-3 boss Monster5 wait/walk/hurt/dead/hit1/hit2/hit3 atlas,derived-ready,confirmed,integrate,"2100x2450; 350x350 cells; 31 visual frames; hit3 repeats four frames across 16 logical keyframes; offset (30,-55)"
monster.stage1.monster7.atlas,Monster7,restored-swf,local-resources/regima/source/restored-swfs/assets/1.swf;local-resources/regima/task-outputs/task-settings-068-stage1-monsters/derived/images/7_Monster7.png;local-resources/regima/task-outputs/task-settings-068-stage1-monsters/monster-frame-geometry.csv,assets/1.swf,7,monster,Stage 1-2 and 1-3 Monster7 wait/walk/hurt/dead/hit1 atlas,derived-ready,confirmed,integrate,"900x750; 150x150 cells; 20 visual frames; hit2 branch unreachable"
monster.stage1.monster8.atlas,Monster8,restored-swf,local-resources/regima/source/restored-swfs/assets/1.swf;local-resources/regima/task-outputs/task-settings-068-stage1-monsters/derived/images/6_Monster8.png;local-resources/regima/task-outputs/task-settings-068-stage1-monsters/monster-frame-geometry.csv,assets/1.swf,6,monster,Stage 1-2 and 1-3 Monster8 wait/walk/hurt/dead/hit1/hit2 atlas,derived-ready,confirmed,integrate,"900x900; 150x150 cells; 25 visual frames; hit2 repeats four frames across 8 logical keyframes"
projectile.stage1.monster2.hit1-start,Monster2Bullet1_1,restored-swf,local-resources/regima/source/restored-swfs/assets/1.swf;local-resources/regima/task-outputs/task-settings-068-stage1-monsters/derived/sprites-svg2/DefineSprite_49_Monster2Bullet1_1;local-resources/regima/task-outputs/task-settings-068-stage1-monsters/attack-object-frame-geometry.csv,assets/1.swf,49,projectile,Monster2 hit1 first attack object,derived-ready,confirmed,integrate,14 frames; trigger tick 5; last-frame destroy
projectile.stage1.monster2.hit1-followup,Monster2Bullet1_2,restored-swf,local-resources/regima/source/restored-swfs/assets/1.swf;local-resources/regima/task-outputs/task-settings-068-stage1-monsters/derived/sprites-svg2/DefineSprite_34_Monster2Bullet1_2;local-resources/regima/task-outputs/task-settings-068-stage1-monsters/attack-object-frame-geometry.csv,assets/1.swf,34,projectile,Monster2 hit1 second attack object,derived-ready,confirmed,integrate,20 frames; trigger tick 20; last-frame destroy
effect.stage1.monster2.hit2,Monster2Bullet2,restored-swf,local-resources/regima/source/restored-swfs/assets/1.swf;local-resources/regima/task-outputs/task-settings-068-stage1-monsters/derived/sprites-svg2/DefineSprite_30_Monster2Bullet2;local-resources/regima/task-outputs/task-settings-068-stage1-monsters/scripts-1/scripts/Monster2Bullet2.as;local-resources/regima/task-outputs/task-settings-068-stage1-monsters/attack-object-frame-geometry.csv,assets/1.swf,30,effect,Monster2 hit2 pull visual,derived-ready,confirmed,integrate,14 frames; trigger tick 7; raw MovieClip removes itself on frame14
projectile.stage1.monster3.hit1,Monster3Bullet1,restored-swf,local-resources/regima/source/restored-swfs/assets/1.swf;local-resources/regima/task-outputs/task-settings-068-stage1-monsters/derived/sprites-svg2/DefineSprite_70_Monster3Bullet1;local-resources/regima/task-outputs/task-settings-068-stage1-monsters/attack-object-frame-geometry.csv,assets/1.swf,70,projectile,Monster3 hit1 attack object,derived-ready,confirmed,integrate,5 frames; trigger tick 7; last-frame destroy
