stableKey,as3Name,sourceKind,sourcePath,sourcePackage,symbolId,scope,usage,status,confidence,nextAction,note
stage.stage2-2.layout,export.gameSence.sl22,restored-swf,local-resources/regima/source/restored-swfs/assets/levels/level22.swf;local-resources/regima/task-outputs/task-settings-063-stage22/level22.xml;local-resources/regima/task-outputs/task-settings-063-stage22/derived/level22-sprites/DefineSprite_64_export.gameSence.sl22,assets/levels/level22.swf,64,scene,Stage 2-2 scene layout and marker owner,ready,confirmed,none,"integrated by TASK-SLICE-150A; Stage22Layout preserves 50-placement-derived scene geometry, 3+1 walls, 3 ThroughWall, 5 StopPoint, 9 FireThron and hidden door metadata"
stage.stage2-2.midground,sl22.character36,restored-swf,local-resources/regima/source/restored-swfs/assets/levels/level22.swf;local-resources/regima/task-outputs/task-settings-063-stage22/level22.xml;local-resources/regima/task-outputs/task-settings-063-stage22/derived/level22-shapes/36.svg,assets/levels/level22.swf,36,scene,Stage 2-2 upper decorative scene strip,ready,confirmed,none,"integrated by TASK-SLICE-150A at world bounds x=230.7..1975.8 y=286.85..339.3; public SVG 1745.1x52.45"
stage.stage2-2.foreground,sl22.character34,restored-swf,local-resources/regima/source/restored-swfs/assets/levels/level22.swf;local-resources/regima/task-outputs/task-settings-063-stage22/level22.xml;local-resources/regima/task-outputs/task-settings-063-stage22/derived/level22-shapes/34.svg,assets/levels/level22.swf,34,scene,Stage 2-2 foreground and ground artwork,ready,confirmed,none,"integrated by TASK-SLICE-150A at world bounds x=-7.15..4693.85 y=496..590; public SVG 4701x94"
stage.stage2-2.background,bg22,restored-swf,local-resources/regima/source/restored-swfs/assets/2.swf;local-resources/regima/task-outputs/task-settings-063-stage22/derived/stage2-sprites/DefineSprite_279_bg22,assets/2.swf,279,scene,Stage 2-2 scrolling background,ready,confirmed,none,"integrated by TASK-SLICE-150A; public 4700x590 SVG keeps bg22 local x=-20 inside bgContainer (-25,0)"
stage.stage2-2.floor,floorBg2,restored-swf,local-resources/regima/source/restored-swfs/assets/2.swf;local-resources/regima/task-outputs/task-settings-063-stage22/derived/stage2-images/3_floorBg2.png,assets/2.swf,3,scene,Stage 2 shared root floor bitmap,ready,confirmed,none,"reused by TASK-SLICE-150A from the existing Stage 2 shared asset owner; DefineBitsLossless2 631x549"
stage.stage2-2.transfer-door,isTransferDoor,restored-swf,local-resources/regima/source/restored-swfs/assets/levels/level22.swf;local-resources/regima/task-outputs/task-settings-063-stage22/level22.xml;local-resources/regima/task-outputs/task-settings-063-stage22/derived/level22-sprites/DefineSprite_63,assets/levels/level22.swf,63,scene,Stage 2-2 ordinary clear door,ready,confirmed,none,"integrated hidden by TASK-SLICE-150A; public 185.8x165 SVG maps instance origin (4316.75,450.75) and local bounds x=-90.75..95.05 y=-110.7..54.3; visibility remains for 150C"
stage.stage2-2.fire-thorn,export.mapObject.FireThron,restored-swf,local-resources/regima/source/restored-swfs/assets/levels/level22.swf;local-resources/regima/task-outputs/task-settings-063-stage22/level22.xml;local-resources/regima/task-outputs/task-settings-063-stage22/derived/level22-sprites/DefineSprite_31_export.mapObject.FireThron,assets/levels/level22.swf,31,scene,Stage 2-2 animated fire hazard,ready,confirmed,none,"integrated by TASK-SLICE-150A as 130 public SVG frames; frame 1 stop, <=200 trigger, frames 2..19 alpha-sampled collision, 2s attack id, [40,50) damage and 9 scaleX 0.74472046 instances"
monster.stage2-2.monster16.atlas,Monster16,restored-swf,local-resources/regima/source/restored-swfs/assets/2.swf;local-resources/regima/task-outputs/task-settings-063-stage22/derived/assets2-native/monster16/6_Monster16.png;local-resources/regima/task-outputs/task-settings-063-stage22/monster16-frame-geometry.csv;public/assets/stage22/monster16/monster16.png;src/assets/AssetManifest.ts,assets/2.swf,6,monster,Stage 2-2 Monster16 wait/walk/hurt/dead/hit1/hit2/hit3/hit4 atlas,ready,confirmed,none,"1800x2400 RGBA; 300x300 cells; 36 reachable keyframes; offset (0,-20)"
projectile.stage2-2.monster16.hit1,Monster16Bullet1,restored-swf,local-resources/regima/source/restored-swfs/assets/2.swf;local-resources/regima/task-outputs/task-settings-063-stage22/derived/assets2-native/bullets/DefineSprite_235_Monster16Bullet1;local-resources/regima/task-outputs/task-settings-063-stage22/monster16-bullet-frame-geometry.csv;public/assets/stage22/monster16/attacks/DefineSprite_235_Monster16Bullet1;src/assets/AssetManifest.ts,assets/2.swf,235,projectile,Monster16 hit1 attack object,ready,confirmed,none,20 frames at registered spawn point
projectile.stage2-2.monster16.hit2-start,Monster16Bullet2_1,restored-swf,local-resources/regima/source/restored-swfs/assets/2.swf;local-resources/regima/task-outputs/task-settings-063-stage22/derived/assets2-native/bullets/DefineSprite_229_Monster16Bullet2_1;local-resources/regima/task-outputs/task-settings-063-stage22/monster16-bullet-frame-geometry.csv;public/assets/stage22/monster16/attacks/DefineSprite_229_Monster16Bullet2_1;src/assets/AssetManifest.ts,assets/2.swf,229,projectile,Monster16 hit2 opening attack object,ready,confirmed,none,4 frames
projectile.stage2-2.monster16.hit2-followup,Monster16Bullet2_2,restored-swf,local-resources/regima/source/restored-swfs/assets/2.swf;local-resources/regima/task-outputs/task-settings-063-stage22/derived/assets2-native/bullets/DefineSprite_225_Monster16Bullet2_2;local-resources/regima/task-outputs/task-settings-063-stage22/monster16-bullet-frame-geometry.csv;public/assets/stage22/monster16/attacks/DefineSprite_225_Monster16Bullet2_2;src/assets/AssetManifest.ts,assets/2.swf,225,projectile,Monster16 hit2 follow-up attack object,ready,confirmed,none,29 frames
projectile.stage2-2.monster16.hit3,Monster16Bullet3,restored-swf,local-resources/regima/source/restored-swfs/assets/2.swf;local-resources/regima/task-outputs/task-settings-063-stage22/derived/assets2-native/bullets/DefineSprite_191_Monster16Bullet3;local-resources/regima/task-outputs/task-settings-063-stage22/monster16-bullet-frame-geometry.csv;public/assets/stage22/monster16/attacks/DefineSprite_191_Monster16Bullet3;src/assets/AssetManifest.ts,assets/2.swf,191,projectile,Monster16 hit3 follow-owner attack object,ready,confirmed,none,15-frame timeline with fixed 7-second lifetime
projectile.stage2-2.monster16.hit4-start,Monster16Bullet4_1,restored-swf,local-resources/regima/source/restored-swfs/assets/2.swf;local-resources/regima/task-outputs/task-settings-063-stage22/derived/assets2-native/bullets/DefineSprite_160_Monster16Bullet4_1;local-resources/regima/task-outputs/task-settings-063-stage22/monster16-bullet-frame-geometry.csv;public/assets/stage22/monster16/attacks/DefineSprite_160_Monster16Bullet4_1;src/assets/AssetManifest.ts,assets/2.swf,160,projectile,Monster16 hit4 opening attack object,ready,confirmed,none,16 frames
projectile.stage2-2.monster16.hit4-followup,Monster16Bullet4_2,restored-swf,local-resources/regima/source/restored-swfs/assets/2.swf;local-resources/regima/task-outputs/task-settings-063-stage22/derived/assets2-native/bullets/DefineSprite_143_Monster16Bullet4_2;local-resources/regima/task-outputs/task-settings-063-stage22/monster16-bullet-frame-geometry.csv;public/assets/stage22/monster16/attacks/DefineSprite_143_Monster16Bullet4_2;src/assets/AssetManifest.ts,assets/2.swf,143,projectile,Monster16 hit4 follow-up attack object,ready,confirmed,none,20 frames
