注：除强化后增加的属性，属性表中的“+”代表属性的最值即浮动区间；若为单独数字则表示基础属性固定
装备名,职业,品质,生命,魔法,攻击,防御,暴击,闪避,回血,回蓝,吸血,魔抗,命中,泣血,强化后增加属性,描述
普通的行者服,悟空,普通,35+5,12+13,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,防御+4,可有可无，不可或缺
普通的行者棍,悟空,普通,0.0,0.0,4+1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,攻击+3
普通的袈裟,唐僧,普通,20+5,45+5,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,防御+4
普通的禅杖,唐僧,普通,0.0,0.0,5+1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,攻击+3
普通的钉耙,八戒,普通,0.0,0.0,6+1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,攻击+3
普通的长衫,八戒,普通,60+5,12+5,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,防御+4
普通的月牙铲,沙僧,普通,0.0,0.0,3+1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,攻击+3
普通的长袍,沙僧,普通,40+5,30+5,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,防御+4
普通的绸服,白龙,普通,45+5,35+5,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,防御+4
普通的铁枪,白龙,普通,0.0,0.0,5+1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,攻击+3
秘银手镯,饰品,优秀,100.0,100.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,回血+1 回蓝+0.57
枯叶弓,沙僧,优秀,0.0,0.0,13+1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,攻击+4,一落红，一枯叶，落红离弦去，从此两难聚
枯叶杖,唐僧,优秀,0.0,115+5,16+1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,攻击+6,求不得，放不下，梧桐化成杖，孤走枯苍道
枯叶衫,悟空,优秀,125+5,65+5,0.0,15+5,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,生命+40 蓝量+20 防御+4,落黄昏，三更雨，临行密密缝，离愁丝丝苦
宣花坠,饰品,优秀,0.0,0.0,15+5,10+2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,攻击+5 防御+2,花映红，春风笑，佳人佩美坠，不知与谁同
宣花锤,八戒,优秀,165+5,0.0,19+1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,攻击+7,街喧闹，人过往，且记曾相识，不为少年留
宣花袍,沙僧,优秀,95+5,95+5,0.0,10+5,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,生命+30 蓝量+30 防御+3,人离合，月圆缺，花开又花谢，不愿再相逢
尾火棍,悟空,优秀,0.0,0.0,15+1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,攻击+5,诸法因缘生，我说是因缘；因缘尽故灭，我作如是说
角木铲,沙僧,优秀,0.0,0.0,13+1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,攻击+4,若人造重罪，作已深自责；忏悔更不造，能拔根本业
