symbol,characterId,frame,visibleMinXFromRegistration,visibleMinYFromRegistration,visibleMaxXFromRegistration,visibleMaxYFromRegistration,exportWidth,exportHeight
Monster8Bullet1,23,1,-0.0,-0.0,150.0,150.0,150.0,150.0
Monster8Bullet2,28,1,-51.85,23.3,143.20000000000002,63.2,195.05,39.9
Monster8Bullet2,28,2,-51.85,23.3,143.20000000000002,63.2,195.05,39.9
Monster8Bullet2,28,3,-51.85,23.3,143.20000000000002,63.2,195.05,39.9
Monster8Bullet2,28,4,-51.85,23.3,143.20000000000002,63.2,195.05,39.9
Monster2Bullet2,30,1,-13.6,-12.7,17.1,12.45,30.7,25.15
Monster2Bullet2,30,2,-13.6,-12.7,17.1,12.45,30.7,25.15
Monster2Bullet2,30,3,-13.6,-12.7,17.1,12.45,30.7,25.15
Monster2Bullet2,30,4,-13.6,-12.7,17.1,12.45,30.7,25.15
Monster2Bullet2,30,5,-13.6,-12.7,17.1,12.45,30.7,25.15
Monster2Bullet2,30,6,-13.6,-12.7,17.1,12.45,30.7,25.15
Monster2Bullet2,30,7,-13.6,-12.7,17.1,12.45,30.7,25.15
Monster2Bullet2,30,8,-13.6,-12.7,17.1,12.45,30.7,25.15
Monster2Bullet2,30,9,-13.6,-12.7,17.1,12.45,30.7,25.15
Monster2Bullet2,30,10,-13.6,-12.7,17.1,12.45,30.7,25.15
Monster2Bullet2,30,11,-13.6,-12.7,17.1,12.45,30.7,25.15
Monster2Bullet2,30,12,-13.6,-12.7,17.1,12.45,30.7,25.15
Monster2Bullet2,30,13,-13.6,-12.7,17.1,12.45,30.7,25.15
Monster2Bullet2,30,14,-13.6,-12.7,17.1,12.45,30.7,25.15
Monster2Bullet1_2,34,1,-68.4,0.2,88.1,67.60000000000001,156.5,67.4
Monster2Bullet1_2,34,2,-68.4,0.2,88.1,67.60000000000001,156.5,67.4
Monster2Bullet1_2,34,3,-68.4,0.2,88.1,67.60000000000001,156.5,67.4
Monster2Bullet1_2,34,4,-68.4,0.2,88.1,67.60000000000001,156.5,67.4
Monster2Bullet1_2,34,5,-68.4,0.2,88.1,67.60000000000001,156.5,67.4
Monster2Bullet1_2,34,6,-68.4,0.2,88.1,67.60000000000001,156.5,67.4
Monster2Bullet1_2,34,7,-68.4,0.2,88.1,67.60000000000001,156.5,67.4
Monster2Bullet1_2,34,8,-68.4,0.2,88.1,67.60000000000001,156.5,67.4
Monster2Bullet1_2,34,9,-68.4,0.2,88.1,67.60000000000001,156.5,67.4
Monster2Bullet1_2,34,10,-68.4,0.2,88.1,67.60000000000001,156.5,67.4
Monster2Bullet1_2,34,11,-68.4,0.2,88.1,67.60000000000001,156.5,67.4
Monster2Bullet1_2,34,12,-68.4,0.2,88.1,67.60000000000001,156.5,67.4
Monster2Bullet1_2,34,13,-68.4,0.2,88.1,67.60000000000001,156.5,67.4
Monster2Bullet1_2,34,14,-68.4,0.2,88.1,67.60000000000001,156.5,67.4
Monster2Bullet1_2,34,15,-68.4,0.2,88.1,67.60000000000001,156.5,67.4
Monster2Bullet1_2,34,16,-68.4,0.2,88.1,67.60000000000001,156.5,67.4
Monster2Bullet1_2,34,17,-68.4,0.2,88.1,67.60000000000001,156.5,67.4
Monster2Bullet1_2,34,18,-68.4,0.2,88.1,67.60000000000001,156.5,67.4
Monster2Bullet1_2,34,19,-68.4,0.2,88.1,67.60000000000001,156.5,67.4
Monster2Bullet1_2,34,20,-68.4,0.2,88.1,67.60000000000001,156.5,67.4
Monster2Bullet1_1,49,1,-71.45,8.4,54.55,144.9,126.0,136.5
Monster2Bullet1_1,49,2,-71.45,8.4,54.55,144.9,126.0,136.5
Monster2Bullet1_1,49,3,-71.45,8.4,54.55,144.9,126.0,136.5
Monster2Bullet1_1,49,4,-71.45,8.4,54.55,144.9,126.0,136.5
Monster2Bullet1_1,49,5,-71.45,8.4,54.55,144.9,126.0,136.5
Monster2Bullet1_1,49,6,-71.45,8.4,54.55,144.9,126.0,136.5
Monster2Bullet1_1,49,7,-71.45,8.4,54.55,144.9,126.0,136.5
Monster2Bullet1_1,49,8,-71.45,8.4,54.55,144.9,126.0,136.5
Monster2Bullet1_1,49,9,-71.45,8.4,54.55,144.9,126.0,136.5
Monster2Bullet1_1,49,10,-71.45,8.4,54.55,144.9,126.0,136.5
Monster2Bullet1_1,49,11,-71.45,8.4,54.55,144.9,126.0,136.5
Monster2Bullet1_1,49,12,-71.45,8.4,54.55,144.9,126.0,136.5
Monster2Bullet1_1,49,13,-71.45,8.4,54.55,144.9,126.0,136.5
Monster2Bullet1_1,49,14,-71.45,8.4,54.55,144.9,126.0,136.5
Monster4Bullet1,52,1,-418.95,-0.0,83.0,7.9,501.95,7.9
Monster4Bullet1,52,2,-418.95,-0.0,83.0,7.9,501.95,7.9
Monster4Bullet1,52,3,-418.95,-0.0,83.0,7.9,501.95,7.9
Monster4Bullet1,52,4,-418.95,-0.0,83.0,7.9,501.95,7.9
Monster4Bullet1,52,5,-418.95,-0.0,83.0,7.9,501.95,7.9
Monster4Bullet1,52,6,-418.95,-0.0,83.0,7.9,501.95,7.9
Monster4Bullet1,52,7,-418.95,-0.0,83.0,7.9,501.95,7.9
Monster4Bullet1,52,8,-418.95,-0.0,83.0,7.9,501.95,7.9
Monster4Bullet1,52,9,-418.95,-0.0,83.0,7.9,501.95,7.9
Monster4Bullet1,52,10,-418.95,-0.0,83.0,7.9,501.95,7.9
Monster4Bullet1,52,11,-418.95,-0.0,83.0,7.9,501.95,7.9
Monster4Bullet1,52,12,-418.95,-0.0,83.0,7.9,501.95,7.9
Monster4Bullet1,52,13,-418.95,-0.0,83.0,7.9,501.95,7.9
Monster4Bullet2_1,61,1,-1486.95,-172.7,1424.95,307.2,2911.9,479.9
Monster4Bullet2_1,61,2,-1486.95,-172.7,1424.95,307.2,2911.9,479.9
Monster4Bullet2_1,61,3,-1486.95,-172.7,1424.95,307.2,2911.9,479.9
Monster4Bullet2_1,61,4,-1486.95,-172.7,1424.95,307.2,2911.9,479.9
Monster4Bullet2_1,61,5,-1486.95,-172.7,1424.95,307.2,2911.9,479.9
Monster4Bullet2_1,61,6,-1486.95,-172.7,1424.95,307.2,2911.9,479.9
Monster4Bullet2_1,61,7,-1486.95,-172.7,1424.95,307.2,2911.9,479.9
Monster4Bullet2_1,61,8,-1486.95,-172.7,1424.95,307.2,2911.9,479.9
Monster4Bullet2_1,61,9,-1486.95,-172.7,1424.95,307.2,2911.9,479.9
Monster4Bullet2_1,61,10,-1486.95,-172.7,1424.95,307.2,2911.9,479.9
Monster4Bullet2_1,61,11,-1486.95,-172.7,1424.95,307.2,2911.9,479.9
Monster4Bullet2_1,61,12,-1486.95,-172.7,1424.95,307.2,2911.9,479.9
Monster4Bullet2_1,61,13,-1486.95,-172.7,1424.95,307.2,2911.9,479.9
Monster4Bullet2_1,61,14,-1486.95,-172.7,1424.95,307.2,2911.9,479.9
Monster4Bullet2_1,61,15,-1486.95,-172.7,1424.95,307.2,2911.9,479.9
Monster4Bullet2_1,61,16,-1486.95,-172.7,1424.95,307.2,2911.9,479.9
Monster4Bullet2_1,61,17,-1486.95,-172.7,1424.95,307.2,2911.9,479.9
Monster4Bullet2_1,61,18,-1486.95,-172.7,1424.95,307.2,2911.9,479.9
Monster4Bullet2_1,61,19,-1486.95,-172.7,1424.95,307.2,2911.9,479.9
Monster4Bullet2_1,61,20,-1486.95,-172.7,1424.95,307.2,2911.9,479.9
Monster4Bullet2_1,61,21,-1486.95,-172.7,1424.95,307.2,2911.9,479.9
Monster4Bullet2_1,61,22,-1486.95,-172.7,1424.95,307.2,2911.9,479.9
Monster4Bullet2_1,61,23,-1486.95,-172.7,1424.95,307.2,2911.9,479.9
Monster4Bullet2_1,61,24,-1486.95,-172.7,1424.95,307.2,2911.9,479.9
Monster4Bullet2_1,61,25,-1486.95,-172.7,1424.95,307.2,2911.9,479.9
Monster4Bullet2_1,61,26,-1486.95,-172.7,1424.95,307.2,2911.9,479.9
Monster4Bullet2_1,61,27,-1486.95,-172.7,1424.95,307.2,2911.9,479.9
Monster4Bullet2_1,61,28,-1486.95,-172.7,1424.95,307.2,2911.9,479.9
Monster4Bullet2_1,61,29,-1486.95,-172.7,1424.95,307.2,2911.9,479.9
Monster4Bullet2_1,61,30,-1486.95,-172.7,1424.95,307.2,2911.9,479.9
Monster4Bullet2_1,61,31,-1486.95,-172.7,1424.95,307.2,2911.9,479.9
Monster4Bullet2_1,61,32,-1486.95,-172.7,1424.95,307.2,2911.9,479.9
Monster4Bullet2_1,61,33,-1486.95,-172.7,1424.95,307.2,2911.9,479.9
Monster4Bullet2_1,61,34,-1486.95,-172.7,1424.95,307.2,2911.9,479.9
Monster4Bullet2_1,61,35,-1486.95,-172.7,1424.95,307.2,2911.9,479.9
Monster4Bullet2_2,65,1,-1683.1,-0.05,1150.0,70.0,2833.1,70.05
Monster4Bullet2_2,65,2,-1683.1,-0.05,1150.0,70.0,2833.1,70.05
Monster4Bullet2_2,65,3,-1683.1,-0.05,1150.0,70.0,2833.1,70.05
Monster4Bullet2_2,65,4,-1683.1,-0.05,1150.0,70.0,2833.1,70.05
Monster4Bullet2_2,65,5,-1683.1,-0.05,1150.0,70.0,2833.1,70.05
Monster4Bullet2_2,65,6,-1683.1,-0.05,1150.0,70.0,2833.1,70.05
Monster4Bullet2_2,65,7,-1683.1,-0.05,1150.0,70.0,2833.1,70.05
Monster4Bullet2_2,65,8,-1683.1,-0.05,1150.0,70.0,2833.1,70.05
Monster4Bullet2_2,65,9,-1683.1,-0.05,1150.0,70.0,2833.1,70.05
Monster4Bullet2_2,65,10,-1683.1,-0.05,1150.0,70.0,2833.1,70.05
Monster4Bullet2_2,65,11,-1683.1,-0.05,1150.0,70.0,2833.1,70.05
Monster4Bullet2_2,65,12,-1683.1,-0.05,1150.0,70.0,2833.1,70.05
Monster4Bullet2_2,65,13,-1683.1,-0.05,1150.0,70.0,2833.1,70.05
Monster4Bullet2_2,65,14,-1683.1,-0.05,1150.0,70.0,2833.1,70.05
Monster4Bullet2_2,65,15,-1683.1,-0.05,1150.0,70.0,2833.1,70.05
Monster4Bullet2_2,65,16,-1683.1,-0.05,1150.0,70.0,2833.1,70.05
Monster4Bullet2_2,65,17,-1683.1,-0.05,1150.0,70.0,2833.1,70.05
Monster4Bullet2_2,65,18,-1683.1,-0.05,1150.0,70.0,2833.1,70.05
