symbol,characterId,frame,visibleMinXFromRegistration,visibleMinYFromRegistration,visibleMaxXFromRegistration,visibleMaxYFromRegistration,exportWidth,exportHeight
Monster30Bullet1,21,1,-185.5,-60.45,68.0,82.89999999999999,253.5,143.35
Monster30Bullet1,21,2,-185.5,-60.45,68.0,82.89999999999999,253.5,143.35
Monster30Bullet1,21,3,-185.5,-60.45,68.0,82.89999999999999,253.5,143.35
Monster30Bullet1,21,4,-185.5,-60.45,68.0,82.89999999999999,253.5,143.35
Monster30Bullet1,21,5,-185.5,-60.45,68.0,82.89999999999999,253.5,143.35
Monster30Bullet1,21,6,-185.5,-60.45,68.0,82.89999999999999,253.5,143.35
Monster30Bullet1,21,7,-185.5,-60.45,68.0,82.89999999999999,253.5,143.35
Monster30Bullet1,21,8,-185.5,-60.45,68.0,82.89999999999999,253.5,143.35
Monster30Bullet1,21,9,-185.5,-60.45,68.0,82.89999999999999,253.5,143.35
Monster30Bullet1,21,10,-185.5,-60.45,68.0,82.89999999999999,253.5,143.35
Monster3Bullet1,70,1,-0.0,-0.0,126.85,106.35,126.85,106.35
Monster3Bullet1,70,2,-0.0,-0.0,126.85,106.35,126.85,106.35
Monster3Bullet1,70,3,-0.0,-0.0,126.85,106.35,126.85,106.35
Monster3Bullet1,70,4,-0.0,-0.0,126.85,106.35,126.85,106.35
Monster3Bullet1,70,5,-0.0,-0.0,126.85,106.35,126.85,106.35
Monster3Bullet2,74,1,-13.7,-4.45,121.2,56.4,134.9,60.85
Monster3Bullet2,74,2,-13.7,-4.45,121.2,56.4,134.9,60.85
Monster3Bullet2,74,3,-13.7,-4.45,121.2,56.4,134.9,60.85
Monster3Bullet2,74,4,-13.7,-4.45,121.2,56.4,134.9,60.85
Monster3Bullet2,74,5,-13.7,-4.45,121.2,56.4,134.9,60.85
Monster3Bullet2,74,6,-13.7,-4.45,121.2,56.4,134.9,60.85
Monster3Bullet2,74,7,-13.7,-4.45,121.2,56.4,134.9,60.85
Monster3Bullet2,74,8,-13.7,-4.45,121.2,56.4,134.9,60.85
Monster3Bullet2,74,9,-13.7,-4.45,121.2,56.4,134.9,60.85
Monster3Bullet2,74,10,-13.7,-4.45,121.2,56.4,134.9,60.85
