symbol,characterId,frame,visibleMinXFromRegistration,visibleMinYFromRegistration,visibleMaxXFromRegistration,visibleMaxYFromRegistration,exportWidth,exportHeight
Monster16Bullet4_2,143,1,-427.25,-0.0,200.0,200.0,627.25,200.0
Monster16Bullet4_2,143,2,-427.25,-0.0,200.0,200.0,627.25,200.0
Monster16Bullet4_2,143,3,-427.25,-0.0,200.0,200.0,627.25,200.0
Monster16Bullet4_2,143,4,-427.25,-0.0,200.0,200.0,627.25,200.0
Monster16Bullet4_2,143,5,-427.25,-0.0,200.0,200.0,627.25,200.0
Monster16Bullet4_2,143,6,-427.25,-0.0,200.0,200.0,627.25,200.0
Monster16Bullet4_2,143,7,-427.25,-0.0,200.0,200.0,627.25,200.0
Monster16Bullet4_2,143,8,-427.25,-0.0,200.0,200.0,627.25,200.0
Monster16Bullet4_2,143,9,-427.25,-0.0,200.0,200.0,627.25,200.0
Monster16Bullet4_2,143,10,-427.25,-0.0,200.0,200.0,627.25,200.0
Monster16Bullet4_2,143,11,-427.25,-0.0,200.0,200.0,627.25,200.0
Monster16Bullet4_2,143,12,-427.25,-0.0,200.0,200.0,627.25,200.0
Monster16Bullet4_2,143,13,-427.25,-0.0,200.0,200.0,627.25,200.0
Monster16Bullet4_2,143,14,-427.25,-0.0,200.0,200.0,627.25,200.0
Monster16Bullet4_2,143,15,-427.25,-0.0,200.0,200.0,627.25,200.0
Monster16Bullet4_2,143,16,-427.25,-0.0,200.0,200.0,627.25,200.0
Monster16Bullet4_2,143,17,-427.25,-0.0,200.0,200.0,627.25,200.0
Monster16Bullet4_2,143,18,-427.25,-0.0,200.0,200.0,627.25,200.0
Monster16Bullet4_2,143,19,-427.25,-0.0,200.0,200.0,627.25,200.0
Monster16Bullet4_2,143,20,-427.25,-0.0,200.0,200.0,627.25,200.0
Monster16Bullet4_1,160,1,-0.0,-0.0,100.0,100.0,100.0,100.0
Monster16Bullet4_1,160,2,-0.0,-0.0,100.0,100.0,100.0,100.0
Monster16Bullet4_1,160,3,-0.0,-0.0,100.0,100.0,100.0,100.0
Monster16Bullet4_1,160,4,-0.0,-0.0,100.0,100.0,100.0,100.0
Monster16Bullet4_1,160,5,-0.0,-0.0,100.0,100.0,100.0,100.0
Monster16Bullet4_1,160,6,-0.0,-0.0,100.0,100.0,100.0,100.0
Monster16Bullet4_1,160,7,-0.0,-0.0,100.0,100.0,100.0,100.0
Monster16Bullet4_1,160,8,-0.0,-0.0,100.0,100.0,100.0,100.0
Monster16Bullet4_1,160,9,-0.0,-0.0,100.0,100.0,100.0,100.0
Monster16Bullet4_1,160,10,-0.0,-0.0,100.0,100.0,100.0,100.0
Monster16Bullet4_1,160,11,-0.0,-0.0,100.0,100.0,100.0,100.0
Monster16Bullet4_1,160,12,-0.0,-0.0,100.0,100.0,100.0,100.0
Monster16Bullet4_1,160,13,-0.0,-0.0,100.0,100.0,100.0,100.0
Monster16Bullet4_1,160,14,-0.0,-0.0,100.0,100.0,100.0,100.0
Monster16Bullet4_1,160,15,-0.0,-0.0,100.0,100.0,100.0,100.0
