symbol,characterId,frame,visibleMinXFromRegistration,visibleMinYFromRegistration,visibleMaxXFromRegistration,visibleMaxYFromRegistration,exportWidth,exportHeight
Monster5Bullet2_1,102,1,-0.0,13.45,162.0,142.39999999999998,162.0,128.95
Monster5Bullet2_1,102,2,-0.0,13.45,162.0,142.39999999999998,162.0,128.95
Monster5Bullet2_1,102,3,-0.0,13.45,162.0,142.39999999999998,162.0,128.95
Monster5Bullet2_1,102,4,-0.0,13.45,162.0,142.39999999999998,162.0,128.95
Monster5Bullet2_1,102,5,-0.0,13.45,162.0,142.39999999999998,162.0,128.95
Monster5Bullet2_1,102,6,-0.0,13.45,162.0,142.39999999999998,162.0,128.95
Monster5Bullet2_1,102,7,-0.0,13.45,162.0,142.39999999999998,162.0,128.95
Monster5Bullet2_1,102,8,-0.0,13.45,162.0,142.39999999999998,162.0,128.95
Monster5Bullet2_1,102,9,-0.0,13.45,162.0,142.39999999999998,162.0,128.95
Monster5Bullet2_1,102,10,-0.0,13.45,162.0,142.39999999999998,162.0,128.95
Monster5Bullet1,105,1,-0.0,-0.0,189.25,204.6,189.25,204.6
Monster5Bullet1,105,2,-0.0,-0.0,189.25,204.6,189.25,204.6
Monster5Bullet1,105,3,-0.0,-0.0,189.25,204.6,189.25,204.6
Monster5Bullet1,105,4,-0.0,-0.0,189.25,204.6,189.25,204.6
Monster30Bullet1,21,1,-185.5,-60.45,68.0,82.89999999999999,253.5,143.35
Monster30Bullet1,21,2,-185.5,-60.45,68.0,82.89999999999999,253.5,143.35
Monster30Bullet1,21,3,-185.5,-60.45,68.0,82.89999999999999,253.5,143.35
Monster30Bullet1,21,4,-185.5,-60.45,68.0,82.89999999999999,253.5,143.35
Monster30Bullet1,21,5,-185.5,-60.45,68.0,82.89999999999999,253.5,143.35
Monster30Bullet1,21,6,-185.5,-60.45,68.0,82.89999999999999,253.5,143.35
Monster30Bullet1,21,7,-185.5,-60.45,68.0,82.89999999999999,253.5,143.35
Monster30Bullet1,21,8,-185.5,-60.45,68.0,82.89999999999999,253.5,143.35
Monster30Bullet1,21,9,-185.5,-60.45,68.0,82.89999999999999,253.5,143.35
Monster30Bullet1,21,10,-185.5,-60.45,68.0,82.89999999999999,253.5,143.35
Monster8Bullet1,23,1,-0.0,-0.0,150.0,150.0,150.0,150.0
Monster8Bullet2,28,1,-51.85,23.3,143.20000000000002,63.2,195.05,39.9
Monster8Bullet2,28,2,-51.85,23.3,143.20000000000002,63.2,195.05,39.9
Monster8Bullet2,28,3,-51.85,23.3,143.20000000000002,63.2,195.05,39.9
Monster8Bullet2,28,4,-51.85,23.3,143.20000000000002,63.2,195.05,39.9
Monster2Bullet2,30,1,-13.6,-12.7,17.1,12.45,30.7,25.15
Monster2Bullet2,30,2,-13.6,-12.7,17.1,12.45,30.7,25.15
Monster2Bullet2,30,3,-13.6,-12.7,17.1,12.45,30.7,25.15
Monster2Bullet2,30,4,-13.6,-12.7,17.1,12.45,30.7,25.15
Monster2Bullet2,30,5,-13.6,-12.7,17.1,12.45,30.7,25.15
Monster2Bullet2,30,6,-13.6,-12.7,17.1,12.45,30.7,25.15
Monster2Bullet2,30,7,-13.6,-12.7,17.1,12.45,30.7,25.15
Monster2Bullet2,30,8,-13.6,-12.7,17.1,12.45,30.7,25.15
Monster2Bullet2,30,9,-13.6,-12.7,17.1,12.45,30.7,25.15
Monster2Bullet2,30,10,-13.6,-12.7,17.1,12.45,30.7,25.15
Monster2Bullet2,30,11,-13.6,-12.7,17.1,12.45,30.7,25.15
Monster2Bullet2,30,12,-13.6,-12.7,17.1,12.45,30.7,25.15
Monster2Bullet2,30,13,-13.6,-12.7,17.1,12.45,30.7,25.15
Monster2Bullet2,30,14,-13.6,-12.7,17.1,12.45,30.7,25.15
Monster2Bullet1_2,34,1,-68.4,0.2,88.1,67.60000000000001,156.5,67.4
